,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12751308,0.02439076,-0.008906632,-0.028323576,-0.004012328,0.0018482225,0.09014948,0.015260649,-0.1470401,-0.005020197,0.047235794,-0.053643964,0.024163257,-0.07384894,0.069778,-0.045627896,-0.24188058,0.01391166,-0.038244408,-0.004170559,-0.001827066,-0.14422044,0.06522602,0.10132635,-0.058341805,-0.052213784,-0.011006004,0.014484968,0.019812588,0.026165217,-0.021116408,0.016760282,-0.06768955,0.0715107,0.009216981,-0.00032294888,0.01868459,-0.10898558,0.018179337,0.013420926,0.010828389,0.0713283,0.029992398,-0.05979247,-0.09332361,0.044377685,-0.028015032,-0.021838494,0.05797275,0.053445864
GTEX-111YS-0826-SM-5GZYK.1,0.065977134,-0.011251978,0.001448876,-0.00029424275,-0.014589034,0.0008376071,-0.060656432,-0.04328177,0.048575047,0.03499192,-0.014496664,0.033896457,-0.031656258,-0.0040119076,-0.0011964614,0.049195092,-0.11749564,-0.07820336,0.011160022,-0.0101082735,0.016792096,0.04170461,-0.007383258,0.056742635,0.021687958,0.03727706,-0.017783567,-0.01543333,-0.012414589,0.008679921,-0.010508139,-0.00956176,0.045417443,-0.05943098,-0.028009815,0.023818716,0.010818004,0.07898108,0.0049342625,-0.028501995,-0.03289084,0.07282938,-0.0153420195,0.037714705,0.00801594,-0.038870208,0.0027678446,0.016511722,-0.028608559,0.070537396
GTEX-111VG-2226-SM-5N9DU.1,0.041119747,-0.031213861,0.029631788,0.018921029,-0.028711284,-0.034693982,-0.023063393,-0.058982868,-0.024534239,0.026949229,-0.040003456,0.032810993,-0.06150555,-0.047379818,0.019103533,0.039965555,-0.11348641,-0.02903881,0.010999915,-0.0339193,0.07252347,-0.004236573,-0.003232301,-0.002341405,-0.014558908,0.0026844717,-0.06785632,-0.04570301,-0.0005202093,0.020208709,-0.046636775,-0.05700045,0.0439396,-0.02693844,-0.06923206,-0.0028853752,-0.018958565,0.05553886,0.011400695,0.0028054332,-0.060926903,0.094218805,-0.034493472,0.0636558,-0.005267446,-0.03177432,-0.03311147,0.05511185,0.0046347342,0.040695056
GTEX-111YS-0726-SM-5GZY8.1,-0.00023477992,-0.01972256,0.044944964,0.046213187,-0.027591623,-0.03375202,-0.06272476,0.023637667,0.03541484,-0.025558064,-0.003537841,0.051584736,-0.066874854,-0.0185428,-0.0037675325,-0.016779827,0.010012742,0.00513103,0.022302033,0.038452055,0.04765764,-0.02727354,-0.04836855,-0.048875,-0.015623694,0.046813708,-0.016621,-0.031952403,0.059850655,-0.0005918081,-0.06658856,-0.060458437,0.014723015,-0.0062360596,0.032689087,-0.03915104,0.004420515,0.017843876,-0.009243483,-0.04276672,-0.019142611,-0.027121332,-0.06773462,-0.011974198,0.03474098,-0.022927234,-0.014171397,0.10224324,-0.062216565,0.01607397
GTEX-111YS-2326-SM-5987L.1,0.052988425,-0.008031064,-0.028110407,-0.01224048,0.03213007,0.038008884,-0.071897104,0.022814566,0.08039897,0.002574955,0.024801206,-0.035812844,-0.030558253,0.0606622,-0.01945344,0.02785806,0.09439182,0.019454295,-0.03307646,0.007195487,-0.04292188,0.06121046,-0.033363953,0.00585085,0.07771347,0.011862654,0.050297696,0.044787057,-0.03793998,-0.01225563,0.045006085,0.028749214,-0.018083803,-0.0069995862,0.016842749,0.020664984,-0.024816286,0.032376062,-0.0010888425,0.033117373,0.012527411,-0.0384661,0.035603944,0.01224609,0.019114992,0.020548156,0.04595121,-0.040639926,0.02310798,-0.030931732
GTEX-111YS-0926-SM-5EGGI.1,-0.15741563,0.10692886,0.010182806,-0.020304002,-0.04920927,-0.035455603,0.12363058,0.026341708,0.023336746,-0.00078128383,-0.039699376,0.011753879,0.08135853,-0.025896024,0.058742523,-0.04010229,0.037883185,-0.04212584,0.039190233,0.027304137,0.009200981,-0.058278356,0.12342019,0.0074833347,-0.04790851,0.056107048,-0.016460517,-0.049319755,0.063465655,-0.04824258,-0.013197984,-0.025611619,0.043370295,-0.018449113,-0.10468847,0.032415498,0.07500474,-0.08894004,-0.03796515,-0.10367197,0.10839896,-0.13592365,-0.02195818,-0.05284913,0.010250626,0.0018594861,0.021838464,0.035795297,-0.028361825,-0.025503136
GTEX-111VG-0526-SM-5N9BW.1,-0.029106611,0.000858359,0.0692051,0.0154672805,-0.026192913,-0.04086065,-0.048641253,-0.0035575565,-0.08349596,0.021697903,-0.035274025,0.05775636,0.0053941384,-0.07707851,0.006341753,-0.01553678,-0.070992246,0.029499684,0.05499251,-0.010854325,0.10917958,-0.0602443,-0.0142894825,-0.03281214,-0.032132678,-0.027009731,-0.05800808,-0.041340306,0.06293907,0.07947448,-0.09790268,-0.08132059,-0.00025718435,0.055320427,0.01932167,-0.05977527,0.02832492,-0.03434872,-0.031097742,-0.033612553,-0.018034656,0.08681966,-0.07246876,0.07210185,-0.030038688,-0.041519325,-0.06343834,0.09970658,-0.039377745,0.021075282
GTEX-1122O-0226-SM-5N9DA.1,0.007756277,0.009944275,0.055209797,0.050793007,-0.026188308,-0.043937344,-0.053741273,0.0074617425,0.03459274,-0.0286594,-0.033525202,0.05047577,-0.019518426,-0.017747447,-0.022636458,-0.03295238,0.042670317,0.004324174,0.049082905,0.011444428,0.05294022,-0.023312872,-0.036222707,-0.058164444,-0.025125457,0.029464459,-0.0035580255,-0.03960473,0.071983136,0.0329505,-0.07007526,-0.05884906,0.031011928,0.025990786,0.055945873,-0.04898445,0.041985188,0.03394596,-0.018242061,-0.070017,0.009376838,0.006388903,-0.0793662,0.017353708,0.029177887,-0.048900336,-0.041699514,0.086720355,-0.06904741,-0.022325294
GTEX-111FC-1026-SM-5GZX1.1,0.0065868176,-0.04456846,0.045843042,0.04529658,-0.04607711,-0.04278824,-0.078256555,-0.0065919566,-0.0046750223,-0.0644128,-0.011998812,0.08572231,-0.06405873,-0.04484493,-0.009603065,-0.013302342,-0.00013772181,0.0010059724,0.041690577,0.07337484,0.07567265,-0.03221961,-0.06694381,-0.057961382,-0.012476642,0.020304998,-0.022320643,-0.045279115,0.07810262,-0.028782867,-0.11139909,-0.09155126,0.010146362,0.039206825,0.03654907,-0.05462699,0.021961477,0.034589227,-0.042822756,-0.03482799,-0.055611096,0.003044082,-0.08623728,0.035722587,0.057448875,-0.02484398,-0.040571533,0.13277696,-0.06400628,0.0039663804
GTEX-1128S-2726-SM-5H12C.1,0.11980212,-0.0060160477,0.046179354,0.08493549,-0.0367394,-0.06034878,-0.022103319,-0.05038096,-0.034778647,-0.010004801,-0.053911302,0.10012107,-0.08215182,-0.040752284,-0.057425313,-0.044406857,0.072904326,-0.0056735952,0.07727274,-0.012559783,0.07627638,0.06501852,-0.116599366,-9.365896e-05,0.009339626,0.038301744,-0.053234324,-0.04531532,0.05372794,-0.0325097,-0.085041896,-0.12664476,0.040229473,-0.10991496,-0.03337095,-0.1266363,0.014683695,0.059604432,-0.06702381,-0.0011128641,-0.008755112,-0.03853167,-0.08104046,0.04223053,0.097278155,-0.055307608,-0.023528973,0.09661379,-0.05374602,0.007906273
