,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12780046,0.01768559,-0.010419034,-0.028132154,-0.0044624065,0.0036174643,0.0867301,0.01575507,-0.14542286,-0.0039188536,0.049093504,-0.05371663,0.01914272,-0.074560456,0.06697516,-0.044955485,-0.23796502,0.015127684,-0.038837157,0.010374176,-0.0026092082,-0.14292073,0.06167827,0.09380992,-0.056371123,-0.05026734,-0.011365732,0.01584597,0.019627765,0.016342402,-0.02138402,0.016248496,-0.06892103,0.0720155,0.0104522165,0.00031610526,0.019432342,-0.109777294,0.018512223,0.013409636,-0.00024845003,0.06261595,0.031342804,-0.06056288,-0.09391927,0.047488395,-0.026838742,-0.02244535,0.05928578,0.05086121
GTEX-111YS-0826-SM-5GZYK.1,0.07220447,-0.0173129,-0.004676661,0.011769663,-0.020268431,0.0035962677,-0.07727475,-0.053451404,0.077892676,0.04765846,-0.018223375,0.03760685,-0.023805622,0.0015332818,-0.010324777,0.04949194,-0.11499043,-0.09467199,0.016137792,0.016705504,0.016005114,0.062371522,0.026169265,0.05662938,0.015214866,0.04949341,-0.02182061,-0.014224217,-0.0124610085,-0.010505023,-0.010639208,-0.013818723,0.0416661,-0.07001876,-0.030097079,0.02881533,0.021111367,0.079889014,0.008839654,-0.033493914,-0.06174281,0.023680924,-0.01555287,0.020064453,0.021335075,-0.03487841,0.011257693,0.026743403,-0.034147516,0.09752071
GTEX-111VG-2226-SM-5N9DU.1,0.057807133,-0.0365345,0.03168056,0.02335117,-0.041684493,-0.038769644,-0.024610948,-0.07065804,-0.03510481,0.03324316,-0.035031233,0.043644253,-0.05557648,-0.057778463,0.035886332,0.048719037,-0.123912275,-0.042750027,0.015735352,-0.064549014,0.08891728,-0.0041822256,-0.020764083,0.0040458636,-0.024254791,0.0053273197,-0.0741112,-0.059208237,-0.0045270273,0.020074645,-0.055634946,-0.060018357,0.056698978,-0.036919735,-0.09029876,-0.0014954114,-0.023708493,0.08320496,0.023298146,0.008060161,-0.06687181,0.11702357,-0.040504806,0.09369655,-0.016031459,-0.049507394,-0.041740187,0.061325308,-0.012640639,0.055760074
GTEX-111YS-0726-SM-5GZY8.1,-0.0029952468,-0.016972577,0.049925625,0.054156274,-0.028381614,-0.03177816,-0.06516194,0.03704443,0.042794064,-0.02192898,-0.00031265285,0.06750356,-0.070883326,-0.0133582605,-0.020714901,-0.033146203,0.015188175,0.030165369,0.023125987,0.018650236,0.05438169,-0.008669401,-0.04482415,-0.052849684,-0.03271195,0.06464989,-0.01835559,-0.038414165,0.07867736,0.014699597,-0.07108666,-0.06626421,0.016490856,-0.015960788,0.046784606,-0.05026245,0.0061548944,0.012493161,-0.0025537463,-0.056097254,-0.015118011,-0.036496483,-0.079390645,-0.032118086,0.026369985,-0.024083199,-0.012077592,0.11232476,-0.076907925,0.02497294
GTEX-111YS-2326-SM-5987L.1,0.06594206,-0.023043416,-0.022012623,0.00055571616,0.030639721,0.03395913,-0.07551766,0.014262745,0.0992352,0.0011791668,0.014452376,-0.035944905,-0.030480377,0.062146295,-0.02715226,0.037618097,0.11288513,0.020820627,-0.030411696,0.0053744554,-0.04121117,0.08057974,-0.022666395,-0.0060438523,0.07796697,0.019423096,0.045932095,0.043666918,-0.039937805,-0.010445312,0.046499353,0.026959036,-0.0140157575,-0.01042146,0.023889892,0.021769622,-0.018595314,0.04197014,0.00091244525,0.03617938,-0.0054780883,-0.046835966,0.03315593,0.019502427,0.02381686,0.016880509,0.04588638,-0.039156232,0.021809872,-0.028388493
GTEX-111YS-0926-SM-5EGGI.1,-0.16033751,0.10072073,0.017774248,-0.0077091,-0.056884076,-0.048586793,0.12337828,0.03409838,0.035496023,0.010137914,-0.05272106,0.0073471423,0.07995318,-0.029751748,0.062634915,-0.045473985,0.041329965,-0.010851962,0.039946612,0.021890225,0.016266694,-0.06332992,0.12208444,-0.020160776,-0.05438114,0.0704643,-0.026806785,-0.06659708,0.07168528,-0.042481516,-0.01717516,-0.03095912,0.046496373,-0.0128457295,-0.075370684,0.028572777,0.07660794,-0.08594925,-0.040000543,-0.11435662,0.10433854,-0.15301943,-0.030511174,-0.053217854,0.016839083,-0.007408,0.019723974,0.04644414,-0.04231337,-0.045163404
GTEX-111VG-0526-SM-5N9BW.1,-0.02618873,-0.00056290283,0.06878511,0.024359211,-0.025870213,-0.038468234,-0.057476394,0.0073252367,-0.07526403,0.013596155,-0.035766203,0.05972183,0.0057301167,-0.07665429,0.008298813,-0.022755144,-0.059281413,0.041433286,0.056105714,0.010766715,0.10411797,-0.061733313,-0.014358975,-0.052713264,-0.028061906,-0.021493532,-0.051850267,-0.037438996,0.072474204,0.066504106,-0.10288518,-0.08343858,-0.0050402978,0.053937852,0.029956346,-0.05869307,0.030597752,-0.038988378,-0.027716262,-0.04579962,-0.01668469,0.07630712,-0.08115547,0.05995683,-0.025736036,-0.048574205,-0.06669153,0.10746522,-0.050721027,0.008058566
GTEX-1122O-0226-SM-5N9DA.1,0.015653804,0.024505585,0.057944547,0.045041673,-0.015764035,-0.047129847,-0.0469623,0.0103836935,0.035862304,-0.022482468,-0.049259365,0.044439867,-0.0014125478,-0.018227765,-0.029692609,-0.043213535,0.046829022,0.0028952819,0.052278653,0.012333616,0.05096286,-0.023632457,-0.03206307,-0.027494872,-0.018078823,0.022281334,-0.0007705557,-0.03806385,0.08201651,0.049470358,-0.0686332,-0.06046952,0.038979992,0.0225969,0.06553432,-0.057830703,0.03878342,0.038954698,-0.012633162,-0.077260554,0.035776865,0.04881379,-0.084542006,0.02281218,0.017410688,-0.06087556,-0.042910703,0.07282552,-0.07372195,-0.031469557
GTEX-111FC-1026-SM-5GZX1.1,0.0025334987,-0.044111878,0.052853756,0.05230351,-0.055093814,-0.047047682,-0.08333504,-0.024348587,-0.016827814,-0.07891682,-0.017593207,0.0858445,-0.062394906,-0.050643783,0.0011821664,-0.010722663,0.019434713,0.0012185451,0.044626478,0.11528002,0.08259009,-0.03997978,-0.07660494,-0.10039979,-0.008566003,0.012743022,-0.011098148,-0.05031714,0.067850165,-0.050115597,-0.122499585,-0.098697476,0.007887846,0.06495271,0.053030573,-0.054104865,0.024729965,0.03604653,-0.047063258,-0.034141686,-0.06956425,-0.006483677,-0.09156868,0.05085272,0.08168074,-0.021953342,-0.044447873,0.14543082,-0.057428263,-0.010026581
GTEX-1128S-2726-SM-5H12C.1,0.12113003,0.0015255613,0.029637627,0.08348179,-0.033874724,-0.05542889,-0.017134953,-0.04976392,-0.022436624,-0.009957075,-0.04720133,0.103963576,-0.096750304,-0.033469107,-0.06518361,-0.038953397,0.074317575,-0.0038944953,0.074674055,-0.0076584164,0.07574981,0.071566395,-0.12090213,0.007931931,0.020941645,0.050077386,-0.054155514,-0.04416947,0.038410697,-0.03955618,-0.08020407,-0.12723126,0.039971784,-0.12004387,-0.040230893,-0.12882318,0.0064082444,0.0582823,-0.06139085,-0.005733803,-0.0030638122,-0.047650866,-0.07987917,0.039683398,0.10451767,-0.05515398,-0.014358283,0.09987607,-0.05511211,0.018173119
