,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12763566,0.015666297,-0.010305692,-0.028375886,-0.004325417,0.0043084687,0.085627586,0.01608319,-0.14571013,-0.0036785414,0.049720597,-0.05365754,0.018227069,-0.07440316,0.06588124,-0.045161568,-0.23832968,0.01575069,-0.039029106,0.012707442,-0.002812624,-0.14274192,0.06072529,0.09347203,-0.055882365,-0.04998317,-0.010581462,0.01612464,0.019005844,0.015341397,-0.021312943,0.01598526,-0.06946236,0.07271903,0.010884859,-6.0686502e-06,0.01903564,-0.1099649,0.018072836,0.014867033,-0.0012399616,0.06294349,0.03177863,-0.060123224,-0.093995266,0.04825162,-0.027256655,-0.022665123,0.059546236,0.049189582
GTEX-111YS-0826-SM-5GZYK.1,0.078361474,-0.016418532,-0.007295462,0.014370277,-0.018426908,0.002600042,-0.09289267,-0.061084643,0.09109176,0.0639668,-0.019732203,0.03709132,-0.028998788,0.0041065095,-0.01332019,0.05523724,-0.1184623,-0.10379293,0.016563343,0.030083356,0.016975692,0.0657278,0.022407126,0.06115778,0.016062124,0.049559705,-0.027083213,-0.012476479,-0.013513417,0.0016158815,-0.008329205,-0.014738254,0.0419254,-0.06512298,-0.025193853,0.032355677,0.01881061,0.091317326,0.0068908012,-0.03609741,-0.06682136,0.039065517,-0.016264996,0.016382912,0.024448691,-0.03282675,0.013177175,0.029932128,-0.037763324,0.10205061
GTEX-111VG-2226-SM-5N9DU.1,0.06351808,-0.030351644,0.029508598,0.018410044,-0.03908352,-0.038598448,-0.043049335,-0.06840798,-0.024762917,0.04816825,-0.031171741,0.04210924,-0.038352326,-0.05675008,0.023687303,0.05388222,-0.13193683,-0.057106916,0.013497108,-0.02604624,0.08817401,0.0020725862,-0.006947419,0.0095178345,-0.020427225,0.007446225,-0.07000465,-0.057385687,-0.0026968445,0.029944649,-0.05564033,-0.053502023,0.054132268,-0.025999231,-0.07264844,0.004917781,-0.01841831,0.08665652,0.018373536,0.0023731121,-0.057472754,0.11723395,-0.040151756,0.088916674,-0.017434686,-0.05396966,-0.042393215,0.06169914,-0.022937972,0.061829638
GTEX-111YS-0726-SM-5GZY8.1,-0.0019271094,-0.021083014,0.04277858,0.06111114,-0.022470279,-0.02872001,-0.08005764,0.03832469,0.04942095,-0.030380985,0.0093472265,0.07262297,-0.078141026,-0.011138337,-0.017048132,-0.020829134,0.010183119,0.034342267,0.01609288,0.033686332,0.058105256,-0.007389586,-0.04703974,-0.08090893,-0.03369818,0.072916776,-0.013294201,-0.038009305,0.07534852,0.0092857,-0.06975057,-0.06332552,0.014407258,-0.019690212,0.054156642,-0.04810179,0.001969867,0.006834916,-0.0018179753,-0.061172083,-0.032321,-0.047738712,-0.073618904,-0.027424071,0.024151722,-0.021523014,-0.010726995,0.12072557,-0.07106113,0.040259358
GTEX-111YS-2326-SM-5987L.1,0.07488147,-0.029208034,-0.019512141,0.004878804,0.032748118,0.03485621,-0.078521304,0.007899805,0.12523927,0.008336878,0.0115933595,-0.038815558,-0.029138079,0.06700035,-0.036214393,0.051122904,0.13943093,0.016951503,-0.027281353,0.038170386,-0.042226706,0.09119294,-0.014867957,-0.021469064,0.08132753,0.021520024,0.04698404,0.041919235,-0.041224238,-0.0092681935,0.049685765,0.028391724,-0.015461525,-0.0031496983,0.03769725,0.026273571,-0.018312499,0.05037424,0.003119119,0.033966757,-0.018531797,-0.05084123,0.033580575,0.01934491,0.024107404,0.017011872,0.049786523,-0.04173065,0.019303314,-0.015685016
GTEX-111YS-0926-SM-5EGGI.1,-0.16880465,0.106844045,0.0115191415,-0.0109245945,-0.051391184,-0.05169577,0.12754472,0.041007556,0.036075268,0.005825447,-0.05814855,-0.0010648406,0.086253874,-0.030500831,0.062783,-0.05121202,0.046615157,0.0049040876,0.03749095,0.02593149,0.014783844,-0.07482659,0.1252113,-0.034138598,-0.06459507,0.064036876,-0.028676456,-0.07183599,0.07262543,-0.027207209,-0.015722804,-0.027186392,0.046602927,-0.0071687535,-0.050963048,0.028274128,0.07539251,-0.0861611,-0.03343348,-0.11955066,0.10585812,-0.1697969,-0.027652029,-0.065646194,0.012574889,-0.0072271912,0.01581602,0.04768444,-0.051994707,-0.054922782
GTEX-111VG-0526-SM-5N9BW.1,-0.025750589,-0.0002047278,0.06463374,0.031443052,-0.024824541,-0.03785561,-0.0547038,0.007575584,-0.06774797,-0.0020279451,-0.035592597,0.055984795,-0.00038452854,-0.07493716,0.011552281,-0.018975964,-0.047180977,0.04221469,0.052197017,0.012816471,0.09895871,-0.05979013,-0.014584121,-0.059039686,-0.030367233,-0.014749414,-0.04414606,-0.035130728,0.06925861,0.060585685,-0.10149082,-0.08391829,-0.002251847,0.04739188,0.0381027,-0.0562587,0.026424576,-0.034282684,-0.025453553,-0.047519825,-0.017223252,0.066493295,-0.08102179,0.053323094,-0.018742442,-0.04813895,-0.06381844,0.10803722,-0.04827902,0.0038325426
GTEX-1122O-0226-SM-5N9DA.1,0.020802164,0.03142285,0.063918635,0.039980516,-0.020367794,-0.05517389,-0.04638046,-0.008911396,0.031875927,-0.025646692,-0.075644135,0.033588223,0.008433813,-0.022617089,-0.018547123,-0.043076262,0.0572215,-0.0064269723,0.059416294,0.038462006,0.055004712,-0.02377289,-0.021548146,-0.02733925,-0.008130133,0.012805584,-0.0017626317,-0.04149284,0.08005368,0.062224522,-0.070781924,-0.068395026,0.050085206,0.03236116,0.0670222,-0.05822917,0.039456498,0.046695784,-0.020763831,-0.07612709,0.039504863,0.07332614,-0.096676454,0.03796342,0.018159298,-0.078277215,-0.048718054,0.06561248,-0.07109646,-0.049175404
GTEX-111FC-1026-SM-5GZX1.1,0.0015580748,-0.033963453,0.055235974,0.05315599,-0.048931304,-0.04648951,-0.07637349,-0.023776973,-0.014824996,-0.06130483,-0.027788052,0.078014635,-0.050277084,-0.051514372,3.6616406e-05,-0.01018936,0.020622695,0.0021437695,0.0454246,0.093264736,0.08341371,-0.03905137,-0.06880298,-0.090676256,-0.009176659,0.010014361,-0.011135027,-0.048537806,0.065281466,-0.021235557,-0.11858006,-0.096331514,0.010196356,0.06191675,0.055773158,-0.054666687,0.02416169,0.03391459,-0.043018296,-0.037613675,-0.0474611,0.007273042,-0.09090574,0.048203427,0.07468354,-0.030583408,-0.0446371,0.1388044,-0.05624343,-0.011464158
GTEX-1128S-2726-SM-5H12C.1,0.121657155,0.006265318,0.030396666,0.08204037,-0.03471621,-0.055974822,-0.015355514,-0.05250379,-0.024012381,-0.012891788,-0.046204392,0.107152894,-0.09795825,-0.034262255,-0.069492824,-0.04090489,0.07682467,-0.0045725093,0.07705952,-0.004111319,0.07747123,0.07430513,-0.123657875,0.006362547,0.026010942,0.05153466,-0.05544682,-0.046762776,0.03782975,-0.045365192,-0.083144754,-0.12921299,0.040472407,-0.12371476,-0.041051943,-0.13173094,0.005285189,0.059913557,-0.060261678,-0.0054588085,-0.0023936776,-0.04924227,-0.081536144,0.041646753,0.108996764,-0.056420002,-0.015144984,0.104422964,-0.05702407,0.017324472
