,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.0036594,-0.0019602266,-0.0033998592,-0.002404762,0.0022436131,0.0034433834,-0.0034140858,0.0034998723,0.00070983655,-1.4351065e-05,0.0034183743,-0.0034237916,-0.0032343045,0.0023793844,0.0029187978,0.00057475653,0.0027552398,0.003349014,-0.0017448283,0.002420941,-0.002446409,-0.003370724,-0.0036106906,-0.0005982935,0.0036031706,-0.0033486746,0.0019951127,0.0024321594,0.0024154622,0.001547772,-0.00024219244,0.0015910814,-0.0035292439,-0.0008842107,0.0017903222,-0.0033211159,-0.0016928962,-0.001955436,0.000435509,0.000791324,0.003112498,-0.0034800062,0.0013768503,-0.0033446692,-0.0035325873,0.0036840562,0.0033397437,-0.0035651198,0.0035450382,-0.0034909667
GTEX-111YS-0826-SM-5GZYK.1,-0.0019555811,-0.0034475068,-0.0022981104,-0.0019075902,0.0034096143,0.002421997,-0.0034620585,0.003219289,0.002145623,0.0033326813,0.0024199723,-0.00041801078,-0.0033527547,0.0032420869,-0.0028420615,0.0034556345,-2.9177922e-05,0.0023731051,-0.003336345,0.0035849952,-0.0033505617,0.0019037764,-0.003580091,-0.0035306753,0.0034075922,-0.0020511711,0.0022376555,0.003300913,-0.002478676,0.0019052718,0.002238324,-0.0015677741,-0.0033212027,0.0018321231,0.003361863,0.0029508944,-0.0032723157,0.0033862204,-0.0021911894,0.0023294438,-0.0030347249,-0.0034933952,0.003235077,-0.0009637243,0.00065641524,0.0032685893,0.002459921,5.7419566e-05,0.003331836,-0.0033218404
GTEX-111VG-2226-SM-5N9DU.1,-0.0029004659,-0.0034998343,-0.0022647728,-0.0017333411,0.003354234,0.0032734778,-0.002218665,0.0033408261,0.0019299574,0.0032535887,0.0032768964,0.00025078165,-0.0033414399,0.0033162027,-0.0034379202,0.0033931385,-0.0006266967,0.0022674352,-0.0024936916,0.0035614462,-0.00233823,0.0018214387,-0.0034769282,-0.0034899618,0.0034055326,-0.0032095406,0.0034822074,0.0033098997,-0.0032321196,0.0023465615,0.0023543036,-0.00023149779,-0.003386904,0.0017787294,0.0035082675,0.0034450626,-0.0032659292,0.0034301104,-0.0033393055,0.003273663,-0.0028341587,-0.003364415,0.0024297058,3.7779466e-06,0.0023059712,0.0032736287,0.0024422747,0.0009227651,0.002425198,-0.0034725375
GTEX-111YS-0726-SM-5GZY8.1,0.0031062732,-0.003551191,-0.0022740958,-0.0014380716,0.0024677566,0.002447219,-0.0023098006,0.0024731858,0.0033973353,0.003438913,0.0020705021,0.00038526068,-0.0022733568,0.0024403376,-0.003476079,0.0019693957,0.0026628075,0.0032725434,-0.0022560258,0.0036318004,-0.0034190756,0.0005957777,-0.0036372603,-0.0035610131,0.003504028,-0.0023865164,0.0034435608,0.003363229,-0.00061793043,0.0020609957,0.0016877558,-0.0019501607,-0.0032522401,0.0019452239,0.00334806,0.0013486693,-0.0033889443,0.0024546622,-0.0013250633,0.0023048474,-0.0035246005,-0.0036240888,0.0022628354,0.00018229941,0.0032644568,0.0032858741,0.0024393613,0.0024608437,0.0025344165,-0.0035560345
GTEX-111YS-2326-SM-5987L.1,0.0013559104,-0.003366453,-0.002283879,-0.0021833929,0.0033035383,0.003232358,-0.0034662543,0.0033803198,0.002424937,0.0034552258,0.0023356252,-0.0022009856,-0.0034363242,0.0024372684,-0.0026216367,0.0018096016,0.0015969842,0.0034342844,-0.0033035902,0.003627789,-0.002320757,0.0034624436,-0.0035863915,-0.0034785375,0.003442827,-0.0020602234,0.003437986,0.003375717,-0.0027837742,0.0016701525,0.001367879,-0.0028161278,-0.0034646946,0.00087409397,0.0034092956,-0.002433205,-0.0032553347,0.0034981256,-0.0022928843,0.0023124563,-0.0036458604,-0.0035585547,0.0023106588,-0.0015495662,0.0033116885,0.0034147738,0.0024038516,-0.0033013753,0.0023678583,-0.0034886994
GTEX-111YS-0926-SM-5EGGI.1,0.002046167,-0.0023873616,-0.0019162376,0.00032816903,0.0033600626,0.003288796,-0.002326843,0.0034436407,0.0035449786,0.0036075157,0.002081212,-0.003346489,-0.003564833,0.0033687607,-0.0022792444,0.0010846215,0.0010014168,0.003306014,-0.0033574563,0.0035695422,-0.0033615644,0.0033095698,-0.001454199,-0.0036413097,0.0035031396,-0.0032990857,0.0013467715,0.0034021812,-0.0025988463,0.0011165373,0.0032390594,-0.00265934,-0.003489242,0.0012478782,0.003483195,0.0019473534,-0.0023284403,0.0018398413,-0.0034680332,0.0032737397,0.00019266119,-0.0034960518,0.0033992126,-0.0008711826,0.003629128,0.0035542846,0.0024692453,0.0025443113,0.0034326997,-0.003357233
GTEX-111VG-0526-SM-5N9BW.1,0.0012401192,-0.0035057887,-0.0023461438,-0.0012697446,0.0024906108,0.0032809593,-0.002065266,0.0032952055,0.0023780803,0.0023428889,0.0022590153,0.00049458863,-0.0025365546,0.0024677026,-0.0035530115,0.002057954,0.0002923241,0.0022433482,-0.0025100203,0.0036629096,-0.0033179224,0.0017035651,-0.0035645796,-0.003425961,0.0034895702,-0.0033035257,0.003460973,0.003415936,-0.0033481647,0.0021233468,0.0019231546,-0.00079049135,-0.0034034073,0.0018312212,0.0035301188,0.002887461,-0.0024198825,0.0033993162,-0.0029073914,0.0033460779,-0.0036722128,-0.003484617,0.0022835669,-0.00010449797,0.001218098,0.0032232497,0.002417836,0.00052293093,0.0024012025,-0.0035707054
GTEX-1122O-0226-SM-5N9DA.1,0.0032570295,-0.0035579363,-0.0021939771,-0.00095003983,0.0033032543,0.0023765522,-0.0034383559,0.0033752397,0.0034022464,0.0035691576,0.0021055639,6.437502e-05,-0.0018024257,0.0024096048,-0.0034562713,0.0018435152,0.0015454681,0.0032757192,-0.0021348456,0.0036710962,-0.0034747983,-0.00011004402,-0.0036572076,-0.0035874115,0.0035140063,-0.0021583643,0.0033767112,0.0033931804,0.0016164075,0.0019379536,0.0014874979,-0.0010248454,-0.0031739501,0.00199911,0.0035158652,0.0016433523,-0.0033898507,0.0020990623,-0.0010649478,0.002153572,-0.0033365549,-0.0036621646,0.003366287,0.00034368972,0.0034959426,0.0033648596,0.0023915237,0.0016175403,0.0024786957,-0.0035554424
GTEX-111FC-1026-SM-5GZX1.1,0.003376834,-0.00347179,-0.0032868197,-0.0021045597,0.0022740285,0.0032482091,-0.0034120735,0.0033284305,0.0033975674,0.003473055,0.002296138,-0.00016988906,-0.0015427105,0.0024490193,-0.0033453233,0.0035317014,-7.841806e-05,0.0032893324,-0.0020252203,0.0034985254,-0.0034026182,-5.6518387e-05,-0.0034946238,-0.003337542,0.0034486123,-0.0033736941,0.003563776,0.003378594,0.0029440788,0.0033702797,0.0019203775,-0.000116456285,-0.0019989621,0.00087339425,0.0033753614,-0.00054544216,-0.0033272142,0.0019839527,-0.00049694465,0.001625841,-0.0033999265,-0.0035995652,0.0014948825,0.0003921644,0.0011873767,0.0033679756,0.0023642364,0.0032866206,0.0033458269,-0.003555908
GTEX-1128S-2726-SM-5H12C.1,0.003297578,-0.00356697,-0.0018558905,-0.00059911836,0.003450297,0.0024169823,-0.0023459306,0.0034694786,0.0024101092,0.0032034884,0.0016942577,0.0011136632,-0.003498332,0.0024819514,-0.003553545,0.00028772798,0.0032682482,0.0023994,-0.0033452264,0.0036983367,-0.0035262385,0.0014220638,-0.0036678694,-0.0036155526,0.0035949908,-0.0021582101,0.0024096505,0.003386439,-0.0032436305,0.0012303299,0.0012968316,-0.003255368,-0.0033335497,0.0025039122,0.0035060022,0.0016235717,-0.0032791249,0.0036020488,-0.0034181762,0.0032966018,-0.0035142337,-0.0035813034,0.003564039,-0.0005512077,0.0036401027,0.003491949,0.0024436736,0.002041235,0.0024029997,-0.0035764405
