,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.1275529,0.015587702,-0.010264083,-0.028320944,-0.004388752,0.004259361,0.085531674,0.016069878,-0.14566134,-0.0036650302,0.049715396,-0.053619888,0.018120114,-0.07438121,0.065808415,-0.045285605,-0.23836519,0.015673636,-0.03901184,0.012845206,-0.002780623,-0.14266667,0.06061038,0.093531705,-0.055786155,-0.04993294,-0.0106128855,0.016088247,0.019062903,0.015189616,-0.021359248,0.01593546,-0.06945669,0.07268808,0.010822272,-6.142005e-05,0.019059569,-0.10989367,0.01798846,0.01492023,-0.001229661,0.06308981,0.031729452,-0.06007947,-0.09393365,0.048239235,-0.027296716,-0.022611609,0.05949278,0.049220026
GTEX-111YS-0826-SM-5GZYK.1,0.079050094,-0.016032528,-0.0073706824,0.014153185,-0.018197766,0.00270845,-0.09388426,-0.06156883,0.0919554,0.06433319,-0.019949522,0.036950257,-0.029754793,0.00452122,-0.013933922,0.05589306,-0.117025904,-0.104153045,0.016753571,0.030302992,0.016754283,0.06617851,0.021661386,0.061912008,0.016529925,0.049722917,-0.026827233,-0.012400419,-0.0137903,0.002154541,-0.007928453,-0.014548588,0.042381775,-0.064932935,-0.025073241,0.03278852,0.018465037,0.09242936,0.0065479516,-0.036346238,-0.06585336,0.040090196,-0.016234469,0.016539544,0.024513755,-0.033102848,0.013355901,0.029823173,-0.037859403,0.101915285
GTEX-111VG-2226-SM-5N9DU.1,0.063772485,-0.030036591,0.029497674,0.018135946,-0.03896037,-0.038514078,-0.043381386,-0.068117864,-0.024350092,0.047919124,-0.030899975,0.042174496,-0.038247395,-0.05673427,0.02289612,0.05383593,-0.13190056,-0.05763677,0.013459811,-0.025238596,0.08796258,0.0023107284,-0.007311347,0.010198674,-0.020142937,0.0074363514,-0.0695726,-0.057153907,-0.00266396,0.030230647,-0.055691447,-0.05314138,0.05401268,-0.026023215,-0.07199971,0.004970931,-0.018171698,0.08669278,0.018102445,0.0019673074,-0.056623213,0.11744885,-0.03999609,0.088350005,-0.01717927,-0.05408493,-0.042306207,0.06148971,-0.023145087,0.062117077
GTEX-111YS-0726-SM-5GZY8.1,-0.0018466439,-0.021044314,0.042246662,0.061210647,-0.021910723,-0.028743707,-0.08055317,0.037814338,0.04960035,-0.030917108,0.009295187,0.07287373,-0.077609494,-0.011164639,-0.0172177,-0.020141847,0.010565196,0.03451482,0.016094817,0.034384616,0.0583361,-0.0071920417,-0.0469465,-0.082350925,-0.03372578,0.07327503,-0.01310611,-0.037910737,0.07522707,0.009698294,-0.069760285,-0.06327945,0.014346616,-0.020136658,0.054807168,-0.048311975,0.0019158085,0.006651855,-0.0016438608,-0.06162086,-0.0325414,-0.047723137,-0.07327895,-0.026781915,0.023740038,-0.02183346,-0.010850325,0.12099091,-0.07092677,0.040703073
GTEX-111YS-2326-SM-5987L.1,0.074949354,-0.029353222,-0.019343704,0.0050749807,0.03276741,0.034845877,-0.078466035,0.007532864,0.12549962,0.008138723,0.011586649,-0.038747143,-0.029400447,0.067060515,-0.036634345,0.05113488,0.14006712,0.016646007,-0.027097987,0.03979641,-0.042167224,0.09097396,-0.015572875,-0.0223497,0.08148739,0.021328863,0.04694924,0.041741457,-0.04115803,-0.009576533,0.04964524,0.02834405,-0.015553611,-0.0024561535,0.03776595,0.026281899,-0.018432368,0.050411202,0.0029839631,0.033810277,-0.018464725,-0.050215166,0.03346011,0.01926069,0.02407877,0.017060624,0.049797155,-0.041702066,0.019221012,-0.015198313
GTEX-111YS-0926-SM-5EGGI.1,-0.16916995,0.10721466,0.011092981,-0.011072825,-0.051595584,-0.051770214,0.12779446,0.04076319,0.035205476,0.0048986305,-0.057973735,-0.0009214556,0.086694375,-0.03059546,0.062167678,-0.051682983,0.04697605,0.0047329827,0.03788764,0.025429798,0.014761334,-0.075150974,0.12503387,-0.033754237,-0.06505451,0.062977634,-0.028704043,-0.071887344,0.072576694,-0.027083393,-0.015798053,-0.027067367,0.04614903,-0.0070064007,-0.051066775,0.02780498,0.075562045,-0.08614778,-0.034381904,-0.11943721,0.10624957,-0.16979061,-0.027745206,-0.065954305,0.012777473,-0.007102259,0.014998016,0.04768855,-0.05230175,-0.0545994
GTEX-111VG-0526-SM-5N9BW.1,-0.02545955,-0.00015983995,0.06462923,0.03216314,-0.024743482,-0.03793469,-0.054501835,0.0074301083,-0.067206,-0.003104565,-0.036157403,0.055886324,-0.00068551314,-0.07474222,0.01136271,-0.01883631,-0.045909513,0.04212941,0.052234784,0.012424655,0.09874086,-0.05950311,-0.014892053,-0.059748147,-0.03060082,-0.014310394,-0.0436556,-0.035108656,0.069201805,0.060553756,-0.10135836,-0.08405907,-0.0018697224,0.047010582,0.03871457,-0.056451637,0.02607924,-0.03373454,-0.025594167,-0.04748659,-0.017332047,0.06618548,-0.08107967,0.053226676,-0.01810642,-0.04840596,-0.063774884,0.10799854,-0.048075773,0.0032235344
GTEX-1122O-0226-SM-5N9DA.1,0.02029638,0.03198303,0.0637921,0.03926372,-0.020905495,-0.05541552,-0.04642108,-0.009244742,0.03141758,-0.02633622,-0.07630006,0.03279782,0.008944297,-0.023210399,-0.016966175,-0.04258716,0.056603078,-0.006907726,0.059308626,0.04038558,0.055621184,-0.024867056,-0.020788288,-0.027713811,-0.007448123,0.012053576,-0.0016099632,-0.041543763,0.07955164,0.06358212,-0.07111823,-0.06881239,0.049768098,0.03411006,0.067409635,-0.057878256,0.03953911,0.04678035,-0.021461708,-0.07671983,0.03967062,0.07456759,-0.09723726,0.03909574,0.01812955,-0.07861404,-0.048988834,0.06562095,-0.07104124,-0.049468216
GTEX-111FC-1026-SM-5GZX1.1,0.0017139157,-0.033487413,0.055417962,0.0533391,-0.048255943,-0.046391644,-0.076451324,-0.023593819,-0.0142002925,-0.06026256,-0.02842899,0.07744257,-0.049785525,-0.051302742,-0.000359731,-0.009783782,0.020862173,0.0023509196,0.045198172,0.09218468,0.08322438,-0.038476605,-0.06814852,-0.09055084,-0.00917293,0.010104031,-0.011199279,-0.04842306,0.06500182,-0.019656125,-0.11792168,-0.09602571,0.010607863,0.06135921,0.055984177,-0.054524936,0.023866497,0.033807945,-0.042473234,-0.037778366,-0.046632446,0.00772365,-0.09064082,0.047997847,0.07392452,-0.031086538,-0.04458527,0.13817078,-0.056025315,-0.011460022
GTEX-1128S-2726-SM-5H12C.1,0.12163213,0.0062611047,0.030925382,0.08201788,-0.034766767,-0.056002654,-0.0150315715,-0.05251606,-0.02467694,-0.013013215,-0.046347767,0.10719645,-0.0974124,-0.034414075,-0.069393866,-0.041182686,0.07685649,-0.0045837583,0.07714727,-0.0043700594,0.077501856,0.07430646,-0.123612896,0.0062790196,0.025890738,0.051214848,-0.05559607,-0.04684015,0.03802632,-0.04529076,-0.08328147,-0.12927398,0.040501233,-0.123705745,-0.041091792,-0.13175102,0.005491869,0.05991439,-0.060332112,-0.005253579,-0.00256848,-0.04899438,-0.081597365,0.041676078,0.1089687,-0.056443278,-0.015329089,0.10444167,-0.056962647,0.016944584
GTEX-111CU-2026-SM-5GZZC.1,0.026798263,-0.024336508,-0.051506102,-0.037132405,0.03777342,0.031614836,-0.04153947,0.05345281,0.027717946,-0.0040347213,0.044164855,-0.044443414,-0.08468122,0.056132123,-0.031085948,-0.01764683,0.08275244,0.02431282,-0.05518372,-0.015036661,-0.046877354,0.03913505,-0.1333667,0.08899937,0.117399804,0.011921255,0.08224995,0.043150645,-0.03436029,-0.027390877,0.054535724,0.039638575,-0.016376609,-0.020664034,-0.0060303616,0.014338579,-0.036821708,0.018508978,-0.020772045,0.03944674,0.096578896,0.040843386,0.044183124,0.007388242,0.024097756,0.031418405,0.0387532,-0.052298717,0.030392751,-0.06549568
GTEX-111YS-0326-SM-5GZZ3.1,0.16126886,-0.11157714,0.035412863,0.090906866,0.0046272096,0.0049803136,-0.17829096,-0.03964167,0.055218074,0.040094938,-0.04857648,0.002885684,0.054490622,0.008268793,-0.08148241,0.0033742103,-0.103629105,0.026823694,0.011894567,-0.013217742,0.003921464,0.15491064,0.17538887,-0.0986425,-0.039859094,-0.006802532,-0.044490237,0.00083574565,-0.03103762,0.023689918,0.0021445488,-0.012832763,-0.0009182207,0.0066257324,0.02871817,0.028529245,0.020349503,0.028507754,0.030940225,0.105084926,-0.13562757,0.08499127,0.00044892586,0.069756545,0.011997425,0.006035104,-0.05750941,-0.016755998,0.023217963,0.038547307
