,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12810002,0.054632656,-0.015581034,-0.038269587,0.004805669,0.0069317254,0.09622911,0.027304169,-0.12684001,-0.011456322,0.046450987,-0.059367284,0.055984672,-0.046429534,0.0756619,-0.035782415,-0.15316406,0.023772396,-0.03256842,0.0020860338,-0.015085805,-0.1350687,0.084548146,0.06297488,-0.049296178,-0.055529818,0.0034433887,0.018335901,0.0064608264,0.040692016,-0.0045291483,0.025711313,-0.063312665,0.06943728,0.007438987,0.010760767,0.013241543,-0.10831212,0.025702626,0.013577392,0.058837056,0.042921975,0.033412855,-0.061460283,-0.08618715,0.039487343,-0.005921013,-0.029706284,0.04825888,0.0036495954
GTEX-111YS-0826-SM-5GZYK.1,0.039847445,-0.006390624,0.01376058,0.0053937994,-0.017460367,0.001876267,-0.04368835,-0.030693313,0.037771337,0.0032569845,-0.019470884,0.025488872,-0.03726814,-0.011356582,-0.00473445,0.01847602,-0.084325336,-0.049336825,0.011301889,-0.0038257546,0.012862262,0.028719096,-0.032122303,0.05094327,0.029704457,0.027384963,-0.011837406,-0.024485422,0.0026878784,-0.009203879,-0.009589325,-0.0073671825,0.033817753,-0.039498057,-0.022143105,0.009294264,0.022622885,0.050179217,-0.016587213,-0.03221909,-0.012749757,0.060273565,-0.013176588,0.035931103,0.016280053,-0.030771483,-0.00034766618,0.0125085795,-0.031249745,0.053591043
GTEX-111VG-2226-SM-5N9DU.1,0.018103184,-0.014772126,0.016630905,0.008554341,-0.02519975,-0.020890603,-0.03889272,-0.014116722,0.017707972,-0.008973185,-0.007747881,0.027640734,-0.024091616,-0.022986848,-0.0057206987,-0.0032043755,-0.03476496,-0.022581171,0.025473595,0.0006497255,0.03898892,-0.0071907663,-0.0074780895,-0.024562143,-0.00285308,0.021365512,-0.028910348,-0.025033588,0.014002347,-0.005596793,-0.03312902,-0.037683852,0.023055084,-0.00028804858,0.0005715361,-0.0035506883,0.0035104894,0.015874783,-0.0090449285,-0.01698181,-0.030714825,0.0033309949,-0.02776658,0.014857979,0.0054606707,-0.017933521,-0.011204876,0.049312253,-0.014889301,0.012243043
GTEX-111YS-0726-SM-5GZY8.1,0.002260899,0.007586573,0.03552725,0.03675744,-0.037584387,-0.04274659,-0.03371506,-0.012647984,-0.00086151256,-0.023608692,-0.025560386,0.050115846,-0.01648515,-0.037299808,-0.013195533,-0.026105464,-0.010371605,-0.020354526,0.03798409,0.0051918733,0.05622655,-0.021979567,-0.010035966,-0.03774314,-0.01939041,0.025056861,-0.031335995,-0.037956093,0.050309043,-0.011228531,-0.061503585,-0.057309676,0.027498242,-0.0036087842,-0.002791383,-0.044944696,0.018043613,0.019451052,-0.033305172,-0.041484356,0.0036367178,-0.013958085,-0.054021336,0.0011969851,0.034876075,-0.026323317,-0.027772546,0.07602418,-0.048948385,0.006261056
GTEX-111YS-2326-SM-5987L.1,0.07040206,-0.08083065,-0.01899794,-0.0043193954,0.03347922,0.039610915,-0.0856205,0.012363424,0.06050444,0.018657602,0.021785438,-0.031991765,-0.05282459,0.048612505,-0.03415103,0.028662954,0.034484915,0.020444712,-0.02841147,0.012100388,-0.034184672,0.05682889,-0.061284866,-0.028279157,0.08087446,0.0022017222,0.035920847,0.03655656,-0.039560538,-0.020325974,0.0350569,0.019093614,-0.01570064,0.0017320373,0.013417464,0.017166391,-0.03127246,0.031132614,0.0012488442,0.04724199,-0.060570844,0.026874982,0.031958565,0.028064555,0.014991183,0.01806463,0.036384534,-0.032731835,0.027817944,-0.017254723
GTEX-111YS-0926-SM-5EGGI.1,-0.083349824,0.07138678,0.020484649,0.0030432406,-0.03655077,-0.030801103,0.067763746,0.0031212547,-0.016178727,-0.027925348,-0.03856229,0.01661611,0.062088463,-0.025138536,0.029728461,-0.036019117,-0.02019613,-0.015878493,0.041010283,-0.007033997,0.03189724,-0.056543592,0.0629276,0.013107593,-0.033921137,0.025279464,-0.02203174,-0.04242429,0.044380274,-0.010570697,-0.03162446,-0.04122402,0.02554439,-0.0065451474,-0.04355516,-0.0028942763,0.044303358,-0.045778543,-0.040813997,-0.060521465,0.0740297,-0.058614563,-0.050242167,-0.019129496,0.014443183,-0.012789725,-0.016900223,0.04666881,-0.027201636,-0.011189926
GTEX-111VG-0526-SM-5N9BW.1,-0.07672599,0.02953857,0.06895606,0.027933072,-0.044334117,-0.04808471,0.04693441,-0.0024438049,-0.07506213,-0.028230187,-0.03956753,0.04042212,0.028505754,-0.060315095,0.014265905,-0.069900714,-0.046187792,0.002116455,0.049953938,-0.00539599,0.09354333,-0.088043526,0.022216247,-0.030935958,-0.0384953,-0.00897515,-0.06931905,-0.04357175,0.05879365,-0.006838458,-0.08544495,-0.083331436,0.0058419043,0.017745178,-0.029201176,-0.06807692,0.030423466,-0.055193994,-0.04333321,-0.040442668,0.020882893,-0.016581783,-0.061092425,0.0010468895,0.008051706,-0.020316923,-0.044929568,0.09196528,-0.023918208,-0.013602549
GTEX-1122O-0226-SM-5N9DA.1,0.0012763414,0.0131971175,0.035058208,0.03148475,-0.037424814,-0.03418235,-0.026781112,-0.01173292,0.009408974,-0.027500488,-0.036676932,0.042158987,-0.007641086,-0.0316709,-0.019112805,-0.03481133,0.0073061744,-0.024644988,0.04349305,-0.0019048146,0.045690116,-0.005888593,-0.041081924,-0.025085878,-0.023263581,0.032416683,-0.026000666,-0.045808025,0.049130403,-0.017251432,-0.050457504,-0.052204676,0.03819284,-0.009177512,0.004583502,-0.043203674,0.036012314,0.030298915,-0.04311927,-0.047030047,0.026662936,-0.027228957,-0.0503045,0.018387202,0.04041393,-0.025140002,-0.029996995,0.06737626,-0.055486526,0.005177103
GTEX-111FC-1026-SM-5GZX1.1,-0.009857714,0.00070012896,0.054930493,0.042315897,-0.05271695,-0.048509896,-0.032171335,-0.027890464,-0.024141554,-0.028744599,-0.042156406,0.065886885,-0.023865564,-0.0472989,-0.01220835,-0.04242812,-0.01114676,-0.031547204,0.057227697,-0.0049937777,0.06770022,-0.027488053,-0.017843232,-0.038234808,-0.036475748,0.035078973,-0.04738021,-0.050564718,0.07793232,-0.022248834,-0.08176264,-0.08261201,0.027712889,0.0016488438,-0.0018392494,-0.06766116,0.03858326,0.022481991,-0.051169563,-0.041125663,0.009998117,-0.022216497,-0.06982856,0.024096545,0.04388793,-0.029393097,-0.052342106,0.10184496,-0.06671389,0.0067011807
GTEX-1128S-2726-SM-5H12C.1,0.11828292,-0.0090356665,0.059785157,0.09394399,-0.045843028,-0.062246475,-0.045122065,-0.047494635,-0.01635334,-0.036849845,-0.06083207,0.09599757,-0.080005094,-0.04911283,-0.07293311,-0.061038,0.07240576,-0.028599197,0.07575126,-0.012971082,0.0742177,0.069299944,-0.11128457,0.0056746365,-0.0041079805,0.04193824,-0.062955365,-0.052458458,0.063072145,-0.041364245,-0.084003344,-0.11429548,0.059589826,-0.09480178,-0.030613814,-0.1180076,0.032459915,0.06822723,-0.071255915,-0.017306715,-0.0053638383,-0.0360761,-0.07945608,0.05695765,0.10126336,-0.06687452,-0.04940566,0.09431745,-0.061375476,0.004374896
GTEX-111CU-2026-SM-5GZZC.1,0.04732917,-0.05139891,-0.019441197,-0.01593892,0.03482075,0.029662456,-0.053782623,0.016092332,0.035053007,0.019567074,0.026772385,-0.026577074,-0.044920035,0.040952116,-0.016165521,0.01976141,0.01688164,0.019846221,-0.033285726,0.003342044,-0.03046004,0.03685043,-0.048498157,-0.018126989,0.05127777,-0.000585822,0.038543556,0.029210664,-0.029682348,-0.014796935,0.032825407,0.023112802,-0.017119322,-0.0016236894,0.010248017,0.019110164,-0.028122813,0.01831387,0.0033044664,0.03471873,-0.0434816,0.012758512,0.032513727,0.017969439,0.0013855116,0.02347686,0.027756788,-0.031912223,0.031954873,-0.013252248
GTEX-111YS-0326-SM-5GZZ3.1,0.114712685,-0.07331488,0.009295996,0.044809308,0.0027184645,0.0049908906,-0.12986979,-0.016960567,0.05219331,0.00796462,-0.019974936,0.008271317,-0.036210384,0.018923055,-0.04177824,0.0033045763,-0.031153869,0.00032201357,0.002469833,-0.020257631,-0.0024783006,0.09846641,0.023152325,-0.048496585,0.005161399,0.021032387,-0.01578331,0.0076793027,-0.025423616,-0.009235087,0.00828089,-0.006156601,0.0058351173,-0.025440104,-0.009408213,0.019297678,-0.00012674568,0.04001898,0.009436081,0.06625004,-0.07978462,0.033051714,-0.006951402,0.04288147,0.018819805,-0.008132702,-0.016392976,-0.013247392,0.009678834,0.030370276
GTEX-111FC-0126-SM-5N9DL.1,-0.04367243,0.041129686,0.026875416,0.03264883,-0.040805764,-0.03267237,0.00028524044,-0.011885862,0.011931391,-0.025948137,-0.04261016,0.031458434,0.012147337,-0.032283254,-0.007265597,-0.04513399,0.002547379,-0.034198496,0.046219565,0.0026201229,0.045165364,-0.024529573,0.015831867,-0.02524631,-0.034470923,0.03429347,-0.021886215,-0.05340143,0.059983317,-0.00995025,-0.047475267,-0.05037827,0.035957426,5.5515095e-05,-0.003017887,-0.041638747,0.033205215,0.006500891,-0.04035965,-0.056285214,0.052549113,-0.053438455,-0.05378405,-0.015395083,0.035325497,-0.016934745,-0.02436731,0.06892686,-0.05828909,0.00072041684
GTEX-111CU-1426-SM-5GZYP.1,-0.120464146,0.06696018,0.03192983,0.010512279,-0.042644758,-0.04911485,0.07511896,0.0044802176,-0.045663465,-0.024726048,-0.03154571,0.030132715,0.057356898,-0.038585313,0.031233495,-0.059124522,-0.025897523,-0.009273659,0.04375435,-0.010153571,0.048583284,-0.07652617,0.04158975,-0.0115572745,-0.051468693,0.012167041,-0.031314302,-0.055803407,0.062615305,-0.00975335,-0.055301417,-0.05342101,0.018765844,0.00062428217,-0.02473766,-0.03492083,0.040127594,-0.044371016,-0.042313907,-0.05438964,0.0718512,-0.06561188,-0.054995894,-0.023907704,0.020989023,-0.012152204,-0.032474373,0.06701107,-0.032620158,-0.010011118
GTEX-1117F-3226-SM-5N9CT.1,0.11449886,0.000314627,0.059951674,0.08967049,-0.04671864,-0.061401177,-0.038151864,-0.050278395,-0.0091472715,-0.031621736,-0.060953382,0.0882226,-0.068038374,-0.045602217,-0.059745993,-0.055213958,0.08719969,-0.032470606,0.083726496,-0.0087959515,0.06693173,0.06419442,-0.11163217,0.002833017,-0.0030341726,0.03804308,-0.05540422,-0.049655195,0.067278884,-0.040809203,-0.0682529,-0.10898727,0.054291245,-0.10233018,-0.024963237,-0.12021255,0.033806134,0.0790251,-0.07952267,-0.01585636,0.0020717145,-0.035125062,-0.0750797,0.05444646,0.09702352,-0.07106581,-0.047319394,0.08503829,-0.0672205,0.023758229
GTEX-113JC-0006-SM-5O997.1,-0.0480321,0.010665039,-0.0627992,-0.07182507,0.07332394,0.07558854,0.019883238,0.06128105,-0.023671322,0.020891728,0.06977364,-0.08131437,0.029470658,0.06699675,0.05148979,0.021860465,0.011799963,0.06751435,-0.0613887,0.011049971,-0.08029886,-0.045299377,0.020064808,-0.019317586,-0.009801768,-0.062182505,0.07219358,0.076118134,-0.06707313,0.019659124,0.08355313,0.087519936,-0.07810199,0.05997982,0.040595986,0.06343585,-0.0573027,-0.076176,0.056737855,0.030382233,0.0028779793,-0.044786848,0.07936546,-0.05331591,-0.07883043,0.07667074,0.066761024,-0.09529326,0.08489103,-0.02866055
GTEX-1117F-0226-SM-5GZZ7.1,-0.07709352,0.031042114,0.026084173,-0.002160773,-0.021083344,-0.025688976,0.030221403,0.0006032181,-0.028335357,-0.011850251,-0.02105157,0.018523047,0.03687518,-0.030313231,0.023472274,-0.016798781,-0.040910996,-0.017533358,0.023850456,-0.0070073497,0.0524643,-0.050593,0.040434282,-0.0121195745,-0.021342052,0.014664548,-0.020985888,-0.027327852,0.02853381,-0.008327546,-0.034462184,-0.0425397,0.015718779,0.00030628295,-0.021676403,-0.01276283,0.015349343,-0.0358695,-0.021091871,-0.03544179,0.010252804,-0.02033493,-0.032618005,-0.009766903,-0.0058732694,-0.0153893,-0.013682114,0.048480134,-0.017907321,-0.0062629767
GTEX-111FC-0326-SM-5GZZ1.1,0.08260943,-0.10210277,-0.019357769,-0.0056767534,0.04265386,0.04379085,-0.08472293,0.016299512,0.046070427,0.026391186,0.02873689,-0.029533999,-0.047174472,0.05865863,-0.037178863,0.027312852,0.04716786,0.034699976,-0.030314036,0.0062648896,-0.043381844,0.06449107,-0.078174114,-0.047155138,0.08313956,-0.013310239,0.04303152,0.04012663,-0.048221495,-0.02527722,0.048859313,0.036109783,-0.02678605,-0.0017050806,0.017932737,0.030956093,-0.042066082,0.014649879,0.010515691,0.06890894,-0.08028641,0.022388129,0.042123504,0.01786882,0.007659452,0.024486888,0.038177792,-0.040884625,0.040913846,-0.020438038
GTEX-111CU-0726-SM-5GZYD.1,-0.07607517,0.05696931,0.019313738,-0.0068047917,-0.027201908,-0.028598614,0.056404386,0.0005518968,-0.014426713,-0.021273475,-0.026660737,0.018434456,0.0625452,-0.024091262,0.0325156,-0.035242036,-0.021581486,-0.015789613,0.03704682,-0.0042180363,0.03647663,-0.04802318,0.057132192,-0.005272599,-0.03675179,0.023887685,-0.022857146,-0.032595128,0.03897396,-0.012562323,-0.033777095,-0.038989637,0.02513678,-0.0007385607,-0.03290663,-0.0033484385,0.03831712,-0.034478042,-0.033856116,-0.04871633,0.04703242,-0.05286122,-0.04914672,-0.012195684,0.008448152,-0.012671783,-0.016490439,0.05046036,-0.026803143,-0.00510707
