,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12759462,0.015819335,-0.010183545,-0.028282356,-0.004469068,0.0041146656,0.08563629,0.015979946,-0.14555955,-0.0036966172,0.049587686,-0.053526215,0.018230572,-0.07445025,0.06582489,-0.04519353,-0.23810056,0.015570598,-0.038865086,0.0124876145,-0.0026846842,-0.14263864,0.06069143,0.09338867,-0.055851433,-0.049824763,-0.010760902,0.015979143,0.019235732,0.015275261,-0.02148292,0.015880784,-0.06929697,0.07250779,0.010738436,-0.000118861,0.019220134,-0.109831184,0.017988086,0.014592642,-0.00095773616,0.06296021,0.03160448,-0.060078457,-0.093837984,0.048078805,-0.02731476,-0.022492211,0.059352245,0.04916574
GTEX-111YS-0826-SM-5GZYK.1,0.077970944,-0.017276132,-0.007997119,0.014083103,-0.01842284,0.003082297,-0.092409305,-0.059924893,0.09178772,0.062815286,-0.018729363,0.037009526,-0.028196828,0.004425105,-0.014051217,0.054413266,-0.11873933,-0.10435246,0.01597018,0.03351836,0.016292484,0.06650452,0.023070037,0.061898563,0.01664112,0.050303593,-0.02604246,-0.011970973,-0.013590763,-0.0011600017,-0.008206567,-0.014300159,0.04151442,-0.06663267,-0.024213832,0.032178923,0.019746581,0.090270646,0.007308226,-0.03629744,-0.06724174,0.034670744,-0.015743662,0.015284753,0.024615161,-0.032340452,0.013916146,0.029561201,-0.03803967,0.102901354
GTEX-111VG-2226-SM-5N9DU.1,0.06263025,-0.031391572,0.029924199,0.019385234,-0.03919106,-0.038735773,-0.041535653,-0.0680761,-0.02583337,0.047140256,-0.031713072,0.04202091,-0.039852757,-0.05667714,0.024993032,0.05311453,-0.13069956,-0.055241287,0.013889049,-0.02830092,0.08853718,0.0009729537,-0.0076224506,0.007311133,-0.021115612,0.0077868225,-0.07063583,-0.05795255,-0.0023001195,0.028193284,-0.05571819,-0.054589134,0.05391645,-0.026162237,-0.07380257,0.0042503974,-0.019385703,0.08612034,0.018807178,0.0030924017,-0.058967892,0.1160213,-0.040686376,0.08889245,-0.017079055,-0.05336126,-0.042407416,0.06228565,-0.022383854,0.060350727
GTEX-111YS-0726-SM-5GZY8.1,-0.003048567,-0.020455252,0.04418138,0.060227945,-0.023627808,-0.028807124,-0.07769629,0.038978953,0.048540298,-0.029217537,0.0081029385,0.0713922,-0.07721842,-0.011174556,-0.016404442,-0.02253955,0.010500109,0.034028832,0.016344596,0.033488892,0.057517912,-0.0087657925,-0.045939215,-0.07862601,-0.033732954,0.07090389,-0.013650476,-0.038045727,0.07567796,0.008916498,-0.0696564,-0.06365502,0.014157539,-0.016642964,0.053426422,-0.047626503,0.0022137861,0.006377882,-0.0020087315,-0.06049207,-0.03084328,-0.04858476,-0.074233845,-0.02860584,0.024544697,-0.020768002,-0.010578311,0.11976489,-0.07086091,0.036926873
GTEX-111YS-2326-SM-5987L.1,0.07367388,-0.027263248,-0.01935099,0.00460444,0.031968668,0.03426005,-0.07738412,0.00816239,0.12299374,0.007908444,0.011205954,-0.03836612,-0.028421124,0.065893725,-0.034356948,0.05004686,0.13588677,0.016839957,-0.027305678,0.033276856,-0.041615214,0.09012887,-0.013085904,-0.018638449,0.07979668,0.022212712,0.04620796,0.041691367,-0.040562585,-0.00829672,0.049001448,0.02777822,-0.014998838,-0.004849768,0.03603608,0.02556961,-0.017365567,0.050077494,0.0028611112,0.033688612,-0.01711949,-0.051034752,0.033152465,0.019515622,0.024384916,0.016436113,0.049036317,-0.041024774,0.019006671,-0.016555699
GTEX-111YS-0926-SM-5EGGI.1,-0.16808754,0.1059088,0.01241933,-0.010479448,-0.05153742,-0.05141865,0.12721169,0.04132194,0.035795003,0.0072102407,-0.05772661,-0.001073901,0.085447915,-0.030767292,0.06402999,-0.05085085,0.044249866,0.0061504357,0.03687935,0.02552269,0.0149944555,-0.07458066,0.124974966,-0.033966057,-0.0640535,0.06498089,-0.02887824,-0.07163615,0.072649635,-0.027438313,-0.016062357,-0.027654236,0.0470029,-0.0073660035,-0.0513586,0.028787965,0.0751289,-0.08655653,-0.032128103,-0.11918446,0.10507398,-0.1684277,-0.02774158,-0.06472526,0.012343807,-0.0071229828,0.016485646,0.047823455,-0.051088754,-0.054791484
GTEX-111VG-0526-SM-5N9BW.1,-0.025672954,-0.00020556974,0.06556274,0.031389166,-0.02517644,-0.038105793,-0.055333193,0.007843491,-0.06855271,-0.00037584943,-0.035792753,0.056674544,0.00011854039,-0.07535916,0.010648233,-0.020256424,-0.04825206,0.042110812,0.05257889,0.0143091995,0.09993305,-0.059966028,-0.014879339,-0.059144847,-0.03010384,-0.015617024,-0.045399904,-0.035760783,0.07026972,0.06083197,-0.101947404,-0.08426158,-0.0028569398,0.048875224,0.037357505,-0.056944042,0.02725683,-0.03480293,-0.026146092,-0.04747515,-0.016669633,0.067240946,-0.08148773,0.054280225,-0.019018676,-0.04829448,-0.064470045,0.10851926,-0.049147975,0.0035670272
GTEX-1122O-0226-SM-5N9DA.1,0.020696418,0.030589705,0.06355157,0.040434986,-0.019299392,-0.05426437,-0.044929147,-0.0072567835,0.031231415,-0.024027266,-0.07295493,0.035210766,0.007854217,-0.021947717,-0.020002235,-0.043569777,0.0556266,-0.003815387,0.059569176,0.030549394,0.054248735,-0.023109097,-0.022837384,-0.026493631,-0.010130786,0.013645168,-0.0019930138,-0.040976707,0.080469616,0.06060891,-0.0702993,-0.06738837,0.049713045,0.028125498,0.06593634,-0.058619663,0.03875913,0.04498234,-0.019077979,-0.074967116,0.038305145,0.07155747,-0.09495083,0.0356358,0.017028151,-0.07700845,-0.04792431,0.0658773,-0.0705703,-0.047449913
GTEX-111FC-1026-SM-5GZX1.1,0.0020284224,-0.035547692,0.055055216,0.05340638,-0.049784012,-0.04656469,-0.07742803,-0.024183298,-0.015476696,-0.062072825,-0.026702398,0.07908917,-0.05142609,-0.05167875,0.00012141926,-0.010093373,0.019838694,0.0023476628,0.045597147,0.09443212,0.0839446,-0.03926626,-0.06970209,-0.091457844,-0.0093637975,0.009911626,-0.011437429,-0.04868951,0.065490745,-0.02371762,-0.1194565,-0.09690408,0.009468818,0.062487315,0.055232182,-0.054684862,0.024202147,0.033952523,-0.043343537,-0.036908593,-0.05021723,0.0068320227,-0.091067575,0.049012598,0.07552562,-0.029724225,-0.044783343,0.139806,-0.056207653,-0.010512737
GTEX-1128S-2726-SM-5H12C.1,0.1218401,0.005785541,0.029249895,0.08211745,-0.03462691,-0.05578272,-0.016537989,-0.05251178,-0.021934783,-0.012181248,-0.045837767,0.107073225,-0.09914184,-0.033825826,-0.06965104,-0.03993776,0.07653365,-0.005109236,0.07679139,-0.0036137132,0.07737626,0.07444225,-0.123718135,0.006841501,0.026255159,0.05239451,-0.055037543,-0.046545714,0.03715957,-0.045365896,-0.082775615,-0.1289552,0.040583037,-0.12374477,-0.041099805,-0.1314267,0.0048747947,0.060125127,-0.05988126,-0.0058463933,-0.0022736224,-0.048919655,-0.08122408,0.041797716,0.1090407,-0.056429397,-0.014749017,0.1042604,-0.057223324,0.018614588
