,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12742582,0.027125323,-0.008599132,-0.028312255,-0.0029141686,0.001984019,0.092398696,0.016315093,-0.14979202,-0.004518051,0.046418805,-0.05340483,0.026163911,-0.074232265,0.07226041,-0.047587562,-0.23975164,0.014999537,-0.03640721,-0.010483908,-0.002043181,-0.14429851,0.065640874,0.10054411,-0.057772625,-0.05400245,-0.009340536,0.013808764,0.018840462,0.032240834,-0.020373734,0.016865646,-0.06782176,0.07107821,0.0092928745,-0.0010174366,0.017778335,-0.10958795,0.017973319,0.013602065,0.01613932,0.07498581,0.029704146,-0.058913164,-0.09323296,0.043460708,-0.026856102,-0.021917384,0.05682879,0.05133648
GTEX-111YS-0826-SM-5GZYK.1,0.064049095,-0.009960309,0.0043778108,-0.001494696,-0.015357976,-0.00074041245,-0.05523224,-0.04391429,0.0438064,0.03410542,-0.015463845,0.035374675,-0.036088906,-0.0061547034,-0.0008883056,0.04779088,-0.11688175,-0.074178815,0.01390166,-0.021278825,0.01951,0.038069434,-0.015410227,0.056026492,0.022047158,0.03767453,-0.01867418,-0.018418336,-0.0102857165,0.013140269,-0.012230199,-0.0111939255,0.048372846,-0.06029854,-0.032369997,0.02220009,0.010220073,0.08112293,0.0043999515,-0.029675413,-0.027675144,0.0801733,-0.017824084,0.040068872,0.008758689,-0.042727638,3.5784084e-05,0.016681714,-0.030651163,0.07009729
GTEX-111VG-2226-SM-5N9DU.1,0.043242607,-0.03925975,0.028737929,0.021835895,-0.029101811,-0.033269264,-0.028557241,-0.06105661,-0.017354187,0.033058204,-0.03978976,0.033678226,-0.0601535,-0.04426593,0.01089446,0.037018217,-0.11598573,-0.03088261,0.011824139,-0.018509421,0.06675328,0.004387097,0.0034922508,-0.003179393,-0.012078515,0.0046708547,-0.06856415,-0.042929552,-0.0009712578,0.0029151842,-0.04668381,-0.057215873,0.038907196,-0.034667473,-0.067838214,-0.0020392889,-0.015315055,0.052555043,0.010013068,0.0038110742,-0.07016428,0.080806755,-0.033895563,0.05400824,0.004157609,-0.027799474,-0.030401938,0.0550827,0.0038400907,0.04456102
GTEX-111YS-0726-SM-5GZY8.1,-0.0017727931,-0.014795407,0.04767516,0.04753683,-0.028858593,-0.036731523,-0.055780638,0.020786094,0.025107335,-0.0326754,-0.007488785,0.053598102,-0.062115386,-0.023080258,-0.0064912173,-0.021559384,0.016228288,0.006534996,0.029294198,0.03778857,0.051623683,-0.0324403,-0.057898976,-0.05214099,-0.015475757,0.04282704,-0.016806955,-0.032740932,0.06099842,-0.006237275,-0.070093855,-0.06298698,0.012918895,0.0016781458,0.03044121,-0.04455463,0.0076528704,0.014265859,-0.015726315,-0.04248358,-0.017188646,-0.028646773,-0.07019188,-0.003735228,0.036756862,-0.02451015,-0.01925938,0.10329811,-0.062205162,0.0050722696
GTEX-111YS-2326-SM-5987L.1,0.04800546,-0.0049099433,-0.025442626,-0.014217602,0.031007767,0.03722201,-0.06491973,0.022535965,0.071643285,0.005224353,0.024905944,-0.034476932,-0.035054144,0.056542072,-0.014763861,0.023705034,0.086304635,0.019656742,-0.030120842,0.009316213,-0.039731283,0.051017176,-0.03830912,0.0033557306,0.07316434,0.010790924,0.047925994,0.041672677,-0.03386317,-0.012684514,0.04095063,0.025490968,-0.019463709,-0.0066889194,0.012481834,0.01794164,-0.024906388,0.031386767,-0.0032004914,0.030748907,0.010289016,-0.031656638,0.03257902,0.010981353,0.019409945,0.020106602,0.0441735,-0.037243467,0.022513136,-0.026760021
GTEX-111YS-0926-SM-5EGGI.1,-0.15535352,0.10870392,0.0072544655,-0.01952775,-0.048508935,-0.03438142,0.12129034,0.022705734,0.0174494,-0.002318504,-0.036601838,0.010035656,0.08458063,-0.025636636,0.052087035,-0.040111694,0.03472178,-0.043299336,0.040733635,0.028071348,0.010871331,-0.060128983,0.12005472,0.011416217,-0.045888953,0.050042484,-0.014109796,-0.048550926,0.06132465,-0.042318355,-0.011988703,-0.025339749,0.042302985,-0.0137986485,-0.0973083,0.027737107,0.07168556,-0.08596137,-0.04139237,-0.101809904,0.10947316,-0.12897654,-0.023620808,-0.052216884,0.010272396,0.0023045165,0.017878912,0.03662662,-0.030991094,-0.025855634
GTEX-111VG-0526-SM-5N9BW.1,-0.026247852,-0.004107632,0.06805914,0.01968365,-0.026762202,-0.041925155,-0.051383946,-0.0051037045,-0.0758643,0.014156878,-0.03195476,0.057011094,0.0005502572,-0.07373462,0.001973552,-0.014400217,-0.06989253,0.02513895,0.05150803,-0.005819923,0.10600764,-0.0585568,-0.015664922,-0.03511451,-0.030876985,-0.02318837,-0.05361891,-0.042039942,0.058504973,0.06538441,-0.09569707,-0.07958211,0.003332593,0.05223909,0.021075753,-0.057786528,0.022923471,-0.02776094,-0.029453907,-0.02744623,-0.02396596,0.07983819,-0.06907015,0.06913121,-0.024386123,-0.03813182,-0.059496902,0.098433815,-0.03687295,0.016989235
GTEX-1122O-0226-SM-5N9DA.1,0.01079152,0.0035587803,0.050276317,0.048127893,-0.027584558,-0.040135056,-0.061677482,0.004165627,0.03919078,-0.025611429,-0.029078357,0.05156815,-0.026359795,-0.014936837,-0.021632487,-0.025449174,0.038805522,-0.002219001,0.04885598,0.009634561,0.050722983,-0.016386604,-0.03822845,-0.05251559,-0.020044843,0.032120492,-0.0034126865,-0.038829774,0.06487798,0.02670491,-0.06636037,-0.05616408,0.031268407,0.02071254,0.046578918,-0.04470456,0.041925948,0.03753865,-0.020912014,-0.06627614,0.0020445967,0.0016932988,-0.075204246,0.017040608,0.02998523,-0.046200335,-0.040444236,0.08663024,-0.06819361,-0.017613545
GTEX-111FC-1026-SM-5GZX1.1,0.0036273657,-0.037844922,0.043832425,0.04346927,-0.042477883,-0.040949497,-0.073335856,-0.0021882392,0.0006666774,-0.059737448,-0.013469019,0.08167216,-0.06641684,-0.04370833,-0.0135464575,-0.013364835,-0.000219794,-0.0008516494,0.041488554,0.065515295,0.07192713,-0.029880734,-0.059910342,-0.051206037,-0.012818387,0.022469174,-0.023707215,-0.042907167,0.07678869,-0.01699204,-0.10460614,-0.08703843,0.010125977,0.03420168,0.035834637,-0.05603397,0.019477788,0.03428749,-0.03918933,-0.036324736,-0.04032448,0.00033478998,-0.08287543,0.026297022,0.048532315,-0.024295116,-0.03881511,0.12655272,-0.06438286,0.0069956672
GTEX-1128S-2726-SM-5H12C.1,0.12103262,-0.0076736785,0.050460808,0.085108384,-0.038029816,-0.061669484,-0.021437565,-0.052501887,-0.044000212,-0.007892712,-0.056092083,0.10022996,-0.08018231,-0.042831857,-0.05695062,-0.04413087,0.071891606,-0.0070102597,0.07928443,-0.019140372,0.07821851,0.06514681,-0.11703166,0.0012981826,0.009948205,0.03684465,-0.054439425,-0.047197923,0.05308704,-0.03254783,-0.08743101,-0.12823969,0.04195211,-0.110196464,-0.036521282,-0.12728247,0.01394866,0.059684962,-0.06886236,0.0018917442,-0.010610733,-0.031046757,-0.08200945,0.045589957,0.09734749,-0.057684366,-0.025742633,0.09600253,-0.05362017,0.0072411112
