,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.004733111,-0.0016025273,-0.003856689,-0.003553828,0.0023461564,0.003818241,-0.0058351285,0.0037648482,0.0007366733,-0.0005029513,0.0040957313,-0.0042501953,-0.0033901383,0.0026514903,0.0058523305,0.00011544435,0.002673199,0.0032203232,-0.001894901,0.0024763318,-0.0025164033,-0.0066511463,-0.0052442797,6.97548e-05,0.00424631,-0.0034067228,0.002066802,0.002739684,0.0041897437,0.0015326814,-0.0005550964,0.00054828194,-0.004028406,-0.0025104652,0.0017147695,-0.0062477947,-0.001672235,-0.0038257795,-0.000115533825,0.00074170774,0.0050296746,-0.0036776124,0.00144869,-0.0036672768,-0.007405038,0.0040787286,0.0038618713,-0.0041248812,0.0039177905,-0.0036576265
GTEX-111YS-0826-SM-5GZYK.1,-0.0035030495,-0.0056425687,-0.004630779,-0.004345795,0.0056284955,0.004609845,-0.0073231095,0.0054637208,0.004238113,0.0056174803,0.0047634216,-0.0022725726,-0.0052410825,0.005617076,-0.0037365241,0.006404406,0.0017064332,0.004349538,-0.0057026185,0.0058930493,-0.0052343747,0.004151443,-0.0062955893,-0.0056239306,0.005854398,-0.004099087,0.0045722406,0.0054512415,-0.0032303957,0.0041116527,0.00429185,-0.0002793272,-0.0053145154,0.0031252042,0.006022001,0.004580896,-0.005448576,0.006101311,-0.005317475,0.0043966654,-0.0045313877,-0.005491442,0.005213597,-0.002742222,0.0008708747,0.0048287576,0.0048390594,-0.0010152338,0.005459393,-0.0052122017
GTEX-111VG-2226-SM-5N9DU.1,-0.004681177,-0.0044675893,-0.00330361,-0.0032845798,0.0043478324,0.0042135958,-0.0055543976,0.004419509,0.0027571935,0.0042428686,0.0043269694,0.00014415178,-0.0049038795,0.0044179778,-0.004662765,0.0045387396,-0.00022096356,0.0030421724,-0.0033600924,0.004549128,-0.0030815108,0.0026874729,-0.005402188,-0.0044211126,0.0046108305,-0.0039781346,0.0047868052,0.0042278636,-0.003900581,0.0035091625,0.0031611861,-0.00028831617,-0.0041760467,0.0016681628,0.0048545953,0.004066081,-0.0041247783,0.0046735443,-0.005048919,0.004123172,-0.002790236,-0.003818979,0.003099773,-0.00022403707,0.0027750472,0.003832951,0.0035406018,0.00074268883,0.0032893154,-0.0042545456
GTEX-111YS-0726-SM-5GZY8.1,0.004431059,-0.0035914073,-0.0025542872,-0.0016595233,0.0026685467,0.0026566007,-0.003591869,0.002781205,0.003806984,0.0043075215,0.002099371,0.0007769457,-0.0024986148,0.002699507,-0.0038709668,0.0020536496,0.002686388,0.0032639317,-0.0024737078,0.0038755252,-0.0035506925,0.00013174872,-0.0049890336,-0.0035669892,0.0040184893,-0.0025414668,0.0035175057,0.0035911698,-0.00070186774,0.0022811436,0.0016673035,-0.0022607443,-0.0033245983,0.0012564026,0.003987758,-0.000997859,-0.003554288,0.0031060153,-0.0031840936,0.0024482666,-0.0038276934,-0.003810195,0.0023184058,0.0005162194,0.0042273425,0.0031698076,0.002732174,0.0040767635,0.00274486,-0.0038710856
GTEX-111YS-2326-SM-5987L.1,0.0019580303,-0.0072591663,-0.0061337254,-0.005966143,0.007230868,0.007085034,-0.007156641,0.007313323,0.006162197,0.007305183,0.006135442,-0.005943913,-0.007341989,0.006342056,-0.0053927205,0.0056722206,0.005172026,0.0073467134,-0.0072563305,0.007647498,-0.006168255,0.0071368073,-0.0074211624,-0.0074136867,0.007349927,-0.005799036,0.007387957,0.0072947,-0.0058081644,0.0055009685,0.0051363576,-0.003507701,-0.0072660553,0.0023809117,0.0073647844,-0.0062866895,-0.007115268,0.007370919,-0.0060087997,0.0061160787,-0.0072441935,-0.007376431,0.0060362825,-0.0050303964,0.0069754566,0.007355154,0.00630121,-0.00649794,0.0063222037,-0.007447461
GTEX-111YS-0926-SM-5EGGI.1,0.0021671834,-0.0032366514,-0.0028740366,-7.490992e-05,0.0043740664,0.004300983,-0.004854349,0.0045683826,0.0051816483,0.0050560613,0.0031389946,-0.004488943,-0.004719968,0.0044919094,-0.0023945274,0.0017964172,0.0018078183,0.004037117,-0.0042762537,0.0045672613,-0.004144413,0.004448616,-0.0024667236,-0.0046259807,0.0047492073,-0.004148647,0.0023390714,0.004346346,-0.0023338047,0.0017484842,0.0041095833,-0.0039799227,-0.0043347296,0.0005696642,0.004845982,0.0026921679,-0.0032182147,0.003167886,-0.005849093,0.0041061407,0.00096628384,-0.003995578,0.004193667,-0.0012336118,0.0042790845,0.0043972693,0.0036502192,0.0035740477,0.004674088,-0.004034536
GTEX-111VG-0526-SM-5N9BW.1,0.0033945404,-0.0036776222,-0.002379948,-0.0010286766,0.0025971227,0.0034010757,-0.004390542,0.0035321538,0.0025095034,0.0020994658,0.0024432768,0.0009401428,-0.002773231,0.0025792702,-0.0037037854,0.0021551915,0.00020501768,0.0021182755,-0.0025832304,0.0040641534,-0.0032276437,0.0016013065,-0.0044548507,-0.0033192872,0.0038213676,-0.003423128,0.0035682244,0.003446139,-0.0038471422,0.002308703,0.0019391279,-0.0016270127,-0.0032532038,0.00088173646,0.0038574585,0.002936815,-0.0024330087,0.0039611226,-0.0031389396,0.003355529,-0.0039748834,-0.0034168393,0.0019460464,0.00044403007,-7.2678704e-05,0.0031763143,0.0026808102,0.0008404515,0.00233881,-0.0035043096
GTEX-1122O-0226-SM-5N9DA.1,0.005330317,-0.004204416,-0.0027499995,-0.0010561314,0.003886814,0.0029720832,-0.007007068,0.0041068024,0.0042174123,0.004132628,0.002896419,-0.00041843703,-0.0016144365,0.0030315116,-0.0037354766,0.0027921384,0.0018687374,0.003941397,-0.0026866456,0.0046389652,-0.004166893,-0.00071289,-0.0059774783,-0.004193903,0.0044087796,-0.00257647,0.0036878204,0.0039882506,0.0035050912,0.0025906994,0.0019701433,-0.002278673,-0.0034128423,0.0019145181,0.004313618,-4.6371542e-06,-0.004046058,0.0020791814,-0.0013067024,0.0026353805,-0.0035536557,-0.00457665,0.0035855651,0.0007331471,0.0031021931,0.0040428266,0.0031790503,0.002178679,0.0030209157,-0.0039987927
GTEX-111FC-1026-SM-5GZX1.1,0.0044563143,-0.002971507,-0.0029104955,-0.0017040857,0.001786716,0.0027717338,-0.0044281497,0.0029638645,0.0033701519,0.0031250578,0.0019725007,0.0009190808,-0.000503063,0.002010458,-0.0028748559,0.0035389108,-0.0010603478,0.0027841297,-0.0014250427,0.0031678537,-0.002875781,-0.0015189139,-0.0050868685,-0.0026039223,0.0032761255,-0.0027454505,0.003130223,0.0029354612,0.005127463,0.0029080166,0.0013645393,-0.00082070247,-0.0013551377,-0.0004694993,0.003220456,-0.0018635248,-0.0029268032,0.0018428604,-0.00041728557,0.0009712742,-0.0030153855,-0.0030003337,0.000786122,0.0016910195,-0.0009809277,0.0027014923,0.0020207937,0.006116105,0.00293024,-0.0031185518
GTEX-1128S-2726-SM-5H12C.1,0.00527548,-0.0033585385,-0.0015833887,0.00018490516,0.0031955068,0.002090909,-0.0030600526,0.0032072575,0.0024911293,0.0028830762,0.0014541796,0.00226872,-0.0033447945,0.0022616219,-0.003208439,-0.0002479674,0.0030736534,0.0021684235,-0.0030690765,0.0035912925,-0.0031202792,0.0006456639,-0.004039332,-0.0035381322,0.0034634736,-0.0016710453,0.0019979454,0.0030295795,-0.0024675713,0.0009848558,0.00090563664,-0.005789084,-0.0027180042,0.0015427925,0.0035730936,-0.00027929744,-0.003036103,0.0038995477,-0.003131768,0.0029381358,-0.0030898526,-0.0032079956,0.0030807953,2.6853542e-05,0.0034370369,0.0031482133,0.0023440677,0.0037603504,0.0020819933,-0.0032789274
