,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12702328,0.0314759,-0.007894083,-0.028758787,0.00076188723,0.001546682,0.09204522,0.018641662,-0.14725469,-0.0044984724,0.043721154,-0.055660896,0.03770774,-0.067960404,0.071019664,-0.04359716,-0.22837655,0.018450163,-0.035645444,-0.011593406,-0.0047733835,-0.14235209,0.072146334,0.08946536,-0.05418246,-0.057499226,-0.005564106,0.014052139,0.015490869,0.0426547,-0.017474988,0.019315666,-0.066311665,0.073019646,0.016012795,0.00017054306,0.015650216,-0.109192796,0.021327859,0.01501059,0.028489249,0.07726333,0.030568782,-0.057025816,-0.090926304,0.041011825,-0.025085013,-0.024552217,0.054623805,0.03221861
GTEX-111YS-0826-SM-5GZYK.1,0.057229076,-0.009327542,0.004257625,-0.009111123,-0.014512967,0.0027835325,-0.047110848,-0.035664156,0.046185397,0.018851409,-0.0085997535,0.031626195,-0.05809991,-0.005429795,-0.021335268,0.0371239,-0.104057044,-0.06775813,0.01237481,-0.02335528,0.01714631,0.0336822,-0.035282638,0.07010246,0.034596857,0.034421828,-0.01226305,-0.020029308,-0.0069455835,0.00078194874,-0.009523417,-0.0073759654,0.046763003,-0.05752086,-0.030040119,0.021153616,0.009724468,0.08230952,-0.003245105,-0.030330218,-0.0113266455,0.08894228,-0.015637139,0.032831386,0.01116069,-0.042405665,0.0046687475,0.012150452,-0.033799887,0.05296073
GTEX-111VG-2226-SM-5N9DU.1,0.024540216,-0.02151383,0.026614595,0.0076467157,-0.03523851,-0.030698258,-0.035087578,-0.044940036,-0.0021248052,0.022040846,-0.021480402,0.04659709,-0.05784751,-0.039888367,0.026955815,0.025184365,-0.103619635,-0.047005475,0.025646433,-0.020030782,0.05316713,-0.0057022856,-0.006729565,0.023433164,-0.009962248,0.021481866,-0.04438727,-0.036272183,0.007964003,0.018353587,-0.052204866,-0.05218963,0.02770008,-0.04098053,-0.037705954,-0.008986486,-0.0004962723,0.049467653,-0.0032183796,-0.021125082,-0.05457127,0.053977508,-0.04035661,0.03122242,-0.0026912289,-0.032530155,-0.022060318,0.061157234,-0.017143669,0.048590858
GTEX-111YS-0726-SM-5GZY8.1,0.0067713903,-0.001882689,0.04968878,0.045539092,-0.032738183,-0.039379135,-0.051549837,0.0012166774,0.00080969767,-0.035204206,-0.013287677,0.05095278,-0.041158073,-0.033788376,-0.01941502,-0.02339273,0.006807783,0.009468571,0.03916453,0.032481655,0.056914847,-0.029718678,-0.035516478,-0.048447553,-0.0292309,0.023394655,-0.019442981,-0.036652334,0.054916013,0.000790476,-0.067745745,-0.060648847,0.014984556,0.021724414,0.024311591,-0.04832551,0.012517437,0.010410538,-0.023458047,-0.03810615,-0.01938732,-0.028704936,-0.05983457,0.009804051,0.027747551,-0.01959945,-0.034353077,0.09230092,-0.051085968,-0.01047759
GTEX-111YS-2326-SM-5987L.1,0.051586654,-0.01876714,-0.024151288,-0.013113382,0.033679266,0.03946035,-0.06548254,0.02147516,0.058708675,0.0112601835,0.027004221,-0.036522795,-0.050621446,0.05356727,-0.02144837,0.017621718,0.07331174,0.020935703,-0.032487992,0.010996054,-0.038213074,0.04534022,-0.057035897,0.00795073,0.077568755,0.0045010494,0.045927126,0.040942807,-0.036076438,-0.019358624,0.038647585,0.022668766,-0.023761129,-0.0033065714,0.009502216,0.016089853,-0.032132514,0.028820245,-0.0033938664,0.037864078,0.0013352478,-0.0131984,0.031811595,0.015849406,0.01777784,0.020717483,0.04202759,-0.035539426,0.027920566,-0.028943386
GTEX-111YS-0926-SM-5EGGI.1,-0.12778595,0.10034485,0.017333511,0.0008022326,-0.048234086,-0.0427618,0.10156158,0.0048436103,0.0071987496,-0.021397255,-0.05302642,0.017132048,0.08488457,-0.022242222,0.02927815,-0.03225677,0.032858264,-0.037971936,0.06265713,0.008601073,0.03423549,-0.053397216,0.09586533,-0.0020270704,-0.03681396,0.039373737,-0.020556096,-0.05274982,0.053878058,-0.02684814,-0.022211673,-0.040694438,0.03162406,-0.010959358,-0.053164974,0.0020822084,0.060329974,-0.05536264,-0.058276318,-0.09294807,0.101351745,-0.10627962,-0.055460684,-0.025940469,0.032354187,-0.02215667,-0.0039571235,0.053675905,-0.05517776,-0.03316057
GTEX-111VG-0526-SM-5N9BW.1,-0.02901338,-0.013028649,0.06309641,0.024334662,-0.029274225,-0.043404985,-0.03414202,-0.0071052,-0.054971866,0.011375859,-0.019730702,0.0536849,-0.0110673215,-0.06251974,0.005613604,-0.019326169,-0.04538728,0.020702558,0.041674882,0.012816205,0.09342876,-0.057939228,-0.02030718,-0.0423412,-0.016948393,-0.009971245,-0.051700402,-0.03475481,0.042814158,0.021321211,-0.090544924,-0.08495608,0.0028724498,0.01684196,0.00057016383,-0.06276036,0.007351803,-0.027528198,-0.029131548,-0.016254362,-0.037398126,0.01050831,-0.06014991,0.047921706,-0.0044995393,-0.02043896,-0.041291952,0.099808164,-0.023427965,0.0033187168
GTEX-1122O-0226-SM-5N9DA.1,0.007612668,0.0025080107,0.048481766,0.040905938,-0.034277707,-0.038002305,-0.05683962,-0.0036489933,0.020033732,-0.029832125,-0.026411975,0.05398886,-0.037159562,-0.02237589,-0.033516143,-0.038529206,0.01826961,0.0048952773,0.050535858,0.031482033,0.058051273,-0.020747697,-0.061117258,-0.043319486,-0.01422207,0.029560711,-0.02164488,-0.04593641,0.070588335,0.008990684,-0.06613189,-0.06023343,0.028301906,0.024525695,0.05711209,-0.057706434,0.04225823,0.032353356,-0.040748794,-0.049909964,-0.0014934539,0.010806254,-0.0663161,0.022526046,0.039581984,-0.028418887,-0.047772292,0.08869697,-0.07454416,-0.025865585
GTEX-111FC-1026-SM-5GZX1.1,-0.005639914,-0.020952875,0.054751974,0.047226097,-0.045491826,-0.04661197,-0.07247099,-0.014054073,-0.012099553,-0.03243258,-0.029163597,0.07277253,-0.04784842,-0.049288873,-0.028061626,-0.025797972,-0.0065603685,0.0074059665,0.051038936,0.04748831,0.07521714,-0.026871843,-0.029197361,-0.07463555,-0.037697535,0.016503742,-0.036354296,-0.046368822,0.08425065,0.013404478,-0.100964606,-0.085061945,0.011715787,0.041922368,0.04229752,-0.06450604,0.023672365,0.021274026,-0.030996285,-0.030325059,-0.031764023,0.0020197765,-0.078949735,0.01927857,0.036470015,-0.017386599,-0.055595,0.114343934,-0.061221845,-0.0066202795
GTEX-1128S-2726-SM-5H12C.1,0.12129774,-0.016568046,0.05815996,0.08887002,-0.03926968,-0.064838074,-0.03802634,-0.05014064,-0.028458115,-0.021440007,-0.05769358,0.093928754,-0.08043671,-0.047487512,-0.0625076,-0.049881242,0.07319172,-0.014764141,0.07815554,-0.0072485264,0.07515773,0.06632639,-0.1154292,-0.00533183,0.008258754,0.03830376,-0.054892894,-0.05061946,0.052358292,-0.03437412,-0.083550856,-0.12623541,0.042719927,-0.103981994,-0.03185377,-0.12510261,0.018321592,0.06154707,-0.07282095,0.0029878477,-0.010379167,-0.028208554,-0.08066672,0.04886169,0.10004387,-0.061262473,-0.03230324,0.09765504,-0.056362957,-0.00069931033
GTEX-111CU-2026-SM-5GZZC.1,0.038383055,-0.012664652,-0.029383656,-0.021174919,0.0360962,0.03397808,-0.054388724,0.025747597,0.04862868,0.009456863,0.030675309,-0.033777922,-0.040974915,0.051917195,-0.025534851,0.013125358,0.059633784,0.017547969,-0.037267607,0.016845793,-0.036103647,0.046293244,-0.055984076,0.019170089,0.07322832,0.0066749463,0.052996267,0.035845328,-0.031654317,-0.0196632,0.04182643,0.027669875,-0.019036068,-0.0049050637,0.00895816,0.015994888,-0.02659901,0.024810666,-0.0059490236,0.030789532,0.027521158,0.007144197,0.032959543,0.0158676,0.012095816,0.025031665,0.034898553,-0.036216997,0.025427634,-0.02794611
GTEX-111YS-0326-SM-5GZZ3.1,0.15133376,-0.12509799,0.028818399,0.07712417,0.0057974895,0.006220269,-0.1671072,-0.03406875,0.04682074,0.02865216,-0.03542627,0.0044113523,0.005517372,0.014063554,-0.07149955,0.0049176044,-0.06511856,0.022765087,0.0009523671,0.006329793,-0.0030492134,0.12603688,0.084697716,-0.09272949,-0.011114074,-0.0033338189,-0.0310908,0.0055539226,-0.030836817,-0.0020100041,0.0057894997,-0.01035284,0.0025046922,0.004844856,0.016120285,0.023797102,0.0048029586,0.031648632,0.023735838,0.09664958,-0.13590054,0.06991859,-0.00025699628,0.06908494,0.019125454,-0.0004224081,-0.03850152,-0.016955266,0.02273356,0.015983641
