,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.0052186116,0.008963536,0.004791863,-0.00043845072,-0.0069829547,-0.004991512,-0.012066744,-0.0053585204,-0.00907637,-0.010445797,-0.0042230384,0.00055950833,0.004908493,-0.006519032,0.012512962,-0.009550118,-0.007427288,-0.006503984,0.006978851,-0.0077050678,0.006834677,-0.015890086,-0.006234016,0.010842725,-0.0044050138,0.005889806,-0.0061483043,-0.0061337436,0.0118173845,-0.007668883,-0.009778057,-0.007219608,0.0040049823,-0.012281425,-0.0075784395,-0.0119094085,0.0078036427,-0.016858442,0.003154824,-0.00884198,0.015615645,0.0057007996,-0.0076259337,0.0050773825,-0.014266021,-0.0050051752,-0.004712247,0.0025468674,-0.00433703,0.0055990946
GTEX-111YS-0826-SM-5GZYK.1,-0.0030822137,-0.0021496047,-0.003475265,-0.007095659,0.0039804196,0.003421673,-0.010320096,0.0038604678,0.0021135595,0.00086049753,0.0045672287,-0.0044379295,0.0049672923,0.0054264655,0.008631426,0.0075520305,-0.008145136,0.00045789694,-0.004946652,0.00092924037,-0.0035977038,-0.0036310689,-0.0024928283,0.00039813694,0.003391598,-0.00047986532,0.0068206107,0.0040058773,-0.007803181,0.0009607908,0.005343558,0.004074327,-0.003150602,-0.0021781751,0.0050258893,0.011035771,-0.0031660574,-0.0018043843,0.0007452949,0.0008827069,0.0042839064,-0.00011037375,0.0034611453,0.0019001376,-0.010496961,0.00070712663,0.0046068835,-0.0037811669,0.0041766916,-0.0006688816
GTEX-111VG-2226-SM-5N9DU.1,0.0012427568,0.004214571,0.0048069833,0.0032137118,-0.0042242105,-0.0040822215,-0.011682061,-0.0037243743,-0.0046999883,-0.0035201237,-0.0028467856,0.0073327865,-0.0037843408,-0.0035858923,-0.0034533585,-0.0022378184,-0.008377198,-0.0052184146,0.004862849,-0.0039584446,0.0055680615,-0.005444374,-0.008545479,0.004557184,-0.0033344745,0.0046471553,-0.0028703255,-0.00418032,0.0010755457,-0.0031359629,-0.0052407533,-0.008117648,0.004606669,-0.0073557324,-0.0026255162,-0.00048538172,0.004508257,-0.00012306664,-0.0065807085,-0.0049110074,0.005291765,0.0063773976,-0.0059070108,0.008332167,0.001800596,-0.005243802,-0.004081784,0.008264285,-0.0038572073,0.0042852215
GTEX-111YS-0726-SM-5GZY8.1,0.007522264,0.006279767,0.007129267,0.007303442,-0.0071477764,-0.007143063,-0.010738439,-0.006147067,-0.0048753438,-0.004143774,-0.007114776,0.010155639,0.004524028,-0.007038614,0.0036488653,-0.00487412,-0.0052103037,-0.0066376035,0.0064261467,-0.004340064,0.0059773778,-0.0073621855,-0.008559316,0.0068166037,-0.005251087,0.006850923,-0.006394481,-0.0061095566,0.0021938663,-0.005901581,-0.008498917,-0.010741362,0.0067833434,-0.008295606,-0.004438343,-0.0095802145,0.0062697157,-0.0037338461,-0.0063194917,-0.007622844,0.0056401496,0.0027846333,-0.007890403,0.010358821,0.0029584644,-0.006749405,-0.006600136,0.014202855,-0.006557592,0.005968939
GTEX-111YS-2326-SM-5987L.1,0.013098969,-0.018837772,-0.019587293,-0.018282447,0.022733558,0.022357782,-0.006599167,0.01920844,0.012395352,0.0165081,0.019592188,-0.02312359,-0.006468928,0.021625446,0.0033875473,0.018232742,0.001421786,0.021990098,-0.021570414,0.015496189,-0.022353731,0.0038110863,-0.0044280794,-0.0175995,0.017901557,-0.016520163,0.02503273,0.022557726,-0.022747451,0.016020514,0.02258706,0.0113031855,-0.021531971,0.013606587,0.019126246,0.0051599373,-0.021659067,0.0033242751,0.004491604,0.019326065,-0.0072796484,-0.0068887076,0.021902345,-0.010410801,-0.00045889633,0.022593386,0.0210469,-0.02315615,0.022780182,-0.019620694
GTEX-111YS-0926-SM-5EGGI.1,-0.004849448,0.0056614717,0.0050596106,0.006650776,-0.0036821507,-0.0035293687,-0.010594399,-0.0032252593,-0.0009789877,-0.0019744036,-0.0042932667,-0.00090279145,0.0013491006,-0.0030809282,0.00842818,-0.005684381,-0.0074838772,-0.004476164,0.0038039286,-0.004261844,0.003904087,-0.0044061285,0.0013098434,0.0041809436,-0.0029845121,0.004544561,-0.0049492638,-0.0038538584,0.0030740036,-0.0058646835,-0.0035663212,-0.0098165525,0.0036872525,-0.008501205,-0.002629313,0.0028120626,0.005010659,-0.0044401283,-0.00370845,-0.004492253,0.010573117,0.0047438913,-0.0041329274,0.0070389705,-0.004767002,-0.0036657276,-0.003427487,0.010337969,-0.0025286207,0.004942762
GTEX-111VG-0526-SM-5N9BW.1,0.005950006,0.0066392715,0.007910955,0.008921308,-0.007739932,-0.0068214936,-0.009251109,-0.0061079864,-0.0069008972,-0.007817486,-0.0070308135,0.0110848835,-0.0023519823,-0.00788438,-0.005002221,-0.0070098005,-0.007991218,-0.0077649904,0.007278016,-0.004713663,0.0071582403,-0.0072938874,-0.008849487,0.006606178,-0.005541529,0.0068617514,-0.0073628896,-0.0068434523,0.005977191,-0.0064181928,-0.008776113,-0.012414055,0.0071105817,-0.009030155,-0.005606348,-0.0065139453,0.007855339,-0.001779387,-0.00897087,-0.007010949,0.005199414,0.0052592233,-0.009038043,0.0076329764,-0.0039053957,-0.0066944156,-0.007164591,0.012329156,-0.007354577,0.006494295
GTEX-1122O-0226-SM-5N9DA.1,0.0062520527,0.004479607,0.0057432745,0.0065632807,-0.0049332017,-0.005572424,-0.0133763105,-0.0044740564,-0.0020538848,-0.004578377,-0.0045415424,0.005991077,0.0057285777,-0.0055983104,0.0039329045,-0.0045041326,-0.007500181,-0.0039453036,0.0060343756,-0.003712328,0.004198067,-0.010533412,-0.011503003,0.005065181,-0.0035248867,0.0066388054,-0.005067473,-0.004531057,0.011456306,-0.0052946345,-0.006713416,-0.009716806,0.0056243404,-0.00715128,-0.0042499523,-0.0040720734,0.0047076694,-0.0072589577,0.004120016,-0.0065837223,0.006137335,0.0031088945,-0.0057893456,0.008117824,-0.0049667116,-0.004590281,-0.004679035,0.009826197,-0.00495151,0.0048194923
GTEX-111FC-1026-SM-5GZX1.1,0.008692741,0.0073579275,0.0077134776,0.007308556,-0.009344113,-0.0084352065,-0.006347509,-0.0075951773,-0.0044693924,-0.0062635345,-0.00764297,0.01192912,0.0027087317,-0.009159146,-5.6215784e-05,-0.0060425964,-0.00723201,-0.007260973,0.009011865,-0.0061533586,0.007859384,-0.009794091,-0.015865834,0.008220582,-0.0070495605,0.007392105,-0.008977338,-0.007963711,0.014838464,-0.005600052,-0.010586558,-0.0131527865,0.009682452,-0.011383011,-0.0071066828,-0.014042143,0.007887218,-0.002515507,-0.004022726,-0.010204384,0.0051876227,0.005491935,-0.010504144,0.011720376,0.006189238,-0.0085013565,-0.008803524,0.018951712,-0.008079856,0.0069162888
GTEX-1128S-2726-SM-5H12C.1,-0.0024025608,0.0066822213,0.008998113,0.008528888,-0.007654676,-0.008979675,-0.00074324873,-0.007549695,-0.0043090535,-0.0065675266,-0.008881132,0.015546951,0.0017124531,-0.008794296,0.0033283236,-0.009117248,-0.0017621157,-0.0077897273,0.007991271,-0.006381613,0.00813802,-0.00542989,-0.008445897,0.006474722,-0.007016776,0.008658145,-0.0095066745,-0.0078117456,0.004833197,-0.007444917,-0.011098147,-0.018584415,0.008371774,-0.009630761,-0.006707561,-0.012900901,0.0077693923,-0.0019669621,-0.008121549,-0.007802014,0.00605632,0.0026500109,-0.008371381,0.0093633,0.0072986707,-0.007973005,-0.008350869,0.017176354,-0.008943982,0.0067187785
