,p_value,q_value,log2_fold_change
ENSG00000187634,1.6154302651238774e-08,1.1302656098668223e-07,-4.497669323248485
ENSG00000188976,0.0817784664969966,0.11211789659618465,-1.3131614518371442
ENSG00000187961,4.2524868339969183e-07,2.0436873105143747e-06,-3.7684994453111655
ENSG00000187583,9.039712172624167e-11,1.400160189086365e-09,-8.802204498095088
ENSG00000187642,1.460302009038715e-10,2.0875765299407813e-09,-9.62624313493369
ENSG00000188290,2.3396550922695912e-08,1.5656122442642692e-07,-5.686808621928756
ENSG00000187608,1.9085985708814906e-05,7.590782019362121e-05,-5.521783886135595
ENSG00000188157,0.6853945750984236,0.7449634076731273,-0.4599379827574877
ENSG00000131591,0.0038794797229704287,0.00764618913879404,-2.2170465866231397
ENSG00000162571,0.6766581317911935,0.7362734750599845,-7.353974957402422
ENSG00000186891,0.0001994238492831576,0.0005942239406014031,-9.316513604013249
ENSG00000186827,6.40593126974391e-11,1.0520558134930588e-09,-7.924542263185759
ENSG00000078808,0.38958518198080055,0.45957005501550136,0.2646164441521485
ENSG00000176022,0.000214292548961035,0.0006330535615239115,-2.9315669523313983
ENSG00000160087,0.04620201049013024,0.06721657891269575,-1.493106440086659
ENSG00000162572,3.700991826764359e-10,4.524536206463626e-09,-5.431895823002498
ENSG00000131584,0.0,0.0,7.514447405949036
ENSG00000169972,0.0003940488585724058,0.0010704307126754508,-2.7970282370414923
ENSG00000127054,0.7307432651655502,0.7874099148449059,-0.40788766836094187
ENSG00000224051,0.101829027651962,0.1365180313805876,-1.238160057841646
ENSG00000169962,1.4295004796583607e-14,9.597964241892246e-13,-8.197201947096435
ENSG00000107404,0.5864693873494036,0.6497809861280995,-0.5221239720154083
ENSG00000162576,0.01959515671620441,0.03140545194984612,-2.0477220279475623
ENSG00000175756,0.2999942311747847,0.36476792257284046,-0.8321819366982423
ENSG00000221978,0.7297140493237628,0.7865016786729498,-0.4164884052478055
ENSG00000242485,0.017681750389204488,0.02867636809038803,-1.7841143797351724
ENSG00000179403,0.00012063959838184532,0.00038436654830735885,-3.7467590371032666
ENSG00000215915,1.2115577046704895e-08,8.748246406445446e-08,-5.378160133567173
ENSG00000160072,0.010148419468165897,0.017650471365802268,-1.9408910826415848
ENSG00000197785,0.009409906411360938,0.01653491360772343,-1.9686592165762076
