,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,1.073e-42,0.0,1.0,1.0203308e-14,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,0.99998474,0.0,2.2956857e-23,8.769079e-27,0.0,0.0,1.7110036e-05,0.0,0.0,4e-45
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,5.323116e-21,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,0.05095607,3.8563473e-29,0.0,0.4503572,0.0,0.0,0.0,0.49868637,0.0
GTEX-111YS-0926-SM-5EGGI.1,6.5051984e-13,0.0,3e-45,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111VG-0526-SM-5N9BW.1,1.4904875e-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,3e-44,0.0,0.0,0.0,3.0778371e-27,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.0,0.0,0.0,0.0,0.0,0.0,1.990267e-11,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,7.8213866e-30,0.0,0.0,0.0,8.6606564e-30,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,6.360182e-20,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.7289777e-09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.8177298e-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,1.5072292e-18,0.0,0.0,0.0,1.6689617e-18,0.0
GTEX-111CU-0726-SM-5GZYD.1,1.5260605e-11,0.0,3.2e-43,1.348e-42,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111YS-1626-SM-5GZZ9.1,2.01964e-40,0.0,1.3669475e-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.939382e-25,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,2.9983287e-26,0.0,1.0,3.7382566e-14,0.0,0.0,1.2358301e-29,0.0,0.0,0.0
GTEX-111CU-1226-SM-5EGIN.1,1.2337269e-33,0.0,1.0,1.7696669e-11,0.0,0.0,7.075e-42,0.0,0.0,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,1.36094165e-17,0.0,0.0,0.0,0.0,0.0,0.0
