,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,1.7578536e-32,1.0,0.0,2.92136e-40
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,9.23e-43,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,1.2816142e-13,0.0,0.0,0.0,0.0,0.0,1.0,4.1653373e-35,0.0,5.645608e-13
GTEX-111YS-0726-SM-5GZY8.1,7.058441e-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,1.7890535e-25,0.0,0.0,4.29435e-40,0.0,0.0,1.0,1.1341039e-38,0.0,8.568321e-14
GTEX-111VG-0526-SM-5N9BW.1,8.120485e-32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,0.9999695,0.0,0.0,0.0,0.0,0.0,2.5444137e-05,2.1961627e-32,0.0,9.029068e-26
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,2.2352648e-07,1.9125507e-37,0.0,2.3091094e-35
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,0.0,1.7327233e-22,8e-45,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,0.0,1.6446943e-08,2.835697e-34,0.0,1.368005e-32
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,4.373136e-35,0.0,0.0,9.892028e-22,0.0,0.0,1.0,1.5634148e-38,0.0,1.7856198e-07
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,1.829488e-19,1.0,0.0,0.0,0.0,0.0,0.0,1.558e-42
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,8.472752e-39,8.467306e-13,0.0,0.0,3.342957e-30,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,4.05089e-40,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,2.2075933e-33,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,4e-45,0.0,0.0,0.0,0.0,0.0,0.0
