,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,4.063908e-23,9.7954e-41,0.0,0.0,0.0,1.08463e-40,0.0
GTEX-111VG-2226-SM-5N9DU.1,0.102899544,0.0,3.93894e-28,6.439266e-24,0.0,0.0,0.89710575,0.0,0.0,1.7287365e-36
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,2.3663981e-17,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,1.4179957e-35,0.0,8.9895177e-17,0.0,0.0,0.0,9.9541333e-17,0.0
GTEX-111YS-0926-SM-5EGGI.1,1.2491425e-16,0.0,1.3509491e-31,2.1974337e-27,0.0,0.0,1.0,0.0,0.0,4e-45
GTEX-111VG-0526-SM-5N9BW.1,3.9965812e-33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,5.5575694e-29,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.0,0.0,0.0,0.0,0.0,0.0,1.2083399e-07,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,6.012533e-30,0.0,0.0,0.0,6.657705e-30,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,8.7e-44,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,9.7e-44,1.35126e-40,0.0,0.0,8.8773395e-23,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,4.670736e-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.3829406e-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,8.572924e-38,0.0,0.0,0.0,9.492837e-38,0.0
GTEX-111CU-0726-SM-5GZYD.1,2.4642695e-19,0.0,1.2888136e-32,1.2986781e-26,0.0,0.0,1.0,0.0,0.0,3.7825e-41
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,8.4006824e-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,3.9866645e-20,1.319247e-39,0.0,5.24e-43,0.0,1.460807e-39,3.293337e-39
GTEX-111CU-1226-SM-5EGIN.1,7.0007e-41,0.0,1.0,1.4861089e-13,1.25392e-40,0.0,1.775e-42,0.0,1.38848e-40,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,1.5305438e-26,6.258e-42,0.0,0.0,0.0,6.93e-42,0.0
