,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,2.5943e-28,0.0,1.0,4.978174e-25,0.0,0.0,2.854951e-27,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,1.8225577e-11,0.0,1.006858e-25,8.829757e-22,0.0,0.0,1.0,0.0,0.0,2.2127768e-27
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,1e-45,2.2510116e-35,0.0,0.0,5.607355e-15,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,9.395748e-15,0.0,0.0,0.0,1.0403955e-14,0.0
GTEX-111YS-0926-SM-5EGGI.1,2.331458e-13,0.0,2.7970682e-23,1.4965526e-22,0.0,0.0,1.0,0.0,0.0,9.691763e-34
GTEX-111VG-0526-SM-5N9BW.1,9.3493664e-17,0.0,2.1e-44,6.2886973e-35,0.0,0.0,1.0,0.0,0.0,6.0792595e-36
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,2.3399e-41,0.0,0.0,4.2795106e-22,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,0.03307538,0.0,0.0,0.0,0.0,0.9669215,5.804207e-30,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,2.252519e-24,0.0,0.0,0.0,2.4942244e-24,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,1.169875e-39,3.8915833e-34,0.0,0.0,2.3617088e-17,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,0.9998932,0.0,2.103e-42,2.804282e-29,0.0,0.0,0.00011300898,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.042003e-16,0.0,4.8823776e-30,1.7716343e-24,0.0,0.0,1.0,0.0,0.0,3.8105272e-32
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,8.548108e-15,0.0,4.997119e-27,5.4245216e-22,0.0,0.0,1.0,0.0,0.0,8.852339e-33
GTEX-111YS-1626-SM-5GZZ9.1,1.8566634e-32,0.0,2.319228e-26,1.0,0.0,0.0,4.6208948e-26,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,2.168557e-39,0.0,0.0,0.0,1.2122707e-34,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1.4971712e-27,0.0,0.0,6.721246e-30,0.0,0.0,5.295302e-31
GTEX-111CU-1226-SM-5EGIN.1,6.1994993e-34,0.0,1.0,7.198763e-19,0.0,0.0,3.2433088e-22,0.0,0.0,1.5571731e-28
GTEX-111CU-0626-SM-5EGHL.1,4.754e-41,0.0,1.0,5.3424554e-31,0.0,0.0,2.029362e-38,0.0,0.0,0.0
