,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,1.6753e-41,0.0,1.0,1.174705e-25,0.0,0.0,1e-45,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,3.2792824e-10,0.0,3.1484752e-32,7.255084e-27,0.0,0.0,1.0,0.0,0.0,1.7321196e-32
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,2.530829e-15,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,1.171857e-20,0.0,1.21333594e-32,1.1539132e-28,0.0,0.0,1.0,0.0,0.0,2.785e-41
GTEX-111VG-0526-SM-5N9BW.1,2.4336e-41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3e-45
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,2.929253e-33,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.0,0.0,0.0,0.0,0.0,0.0,3.7876399e-19,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,1.7499267e-38,0.0,0.0,0.0,1.9376721e-38,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,5e-44,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,1.197e-42,2.2892754e-38,0.0,0.0,1.2829756e-18,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,2.152543e-10,0.0,0.0,1e-44,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,5.603547e-38,0.0,0.0,1.038e-42,0.0,0.0,1.0,0.0,0.0,1.814e-41
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,1.3904809e-25,0.0,6.8364575e-34,1.0584667e-27,0.0,0.0,1.0,0.0,0.0,3.348457e-38
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,1.0076309e-24,1.0,0.0,0.0,2.9258106e-35,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,0.0,0.0,0.0,6e-45,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1.8324021e-25,2.120215e-39,0.0,1.3693239e-35,0.0,2.347724e-39,8.94115e-34
GTEX-111CU-1226-SM-5EGIN.1,7.600407e-38,0.0,1.0,2.1807861e-16,9.5e-44,0.0,7.791183e-32,0.0,1.05e-43,8.059e-41
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,1.5969891e-31,0.0,0.0,0.0,0.0,0.0,0.0
