,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,1.88632e-40,0.0,1.0,2.5084379e-27,0.0,0.0,1.4795792e-38,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,8.4244753e-16,0.0,1.08670166e-26,3.997547e-23,0.0,0.0,1.0,0.0,0.0,2.0993488e-29
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,1.694897e-38,0.0,0.0,1.0646179e-12,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,1.019139e-39,0.0,0.0,0.0,1.12848e-39,0.0
GTEX-111YS-0926-SM-5EGGI.1,1.7353353e-23,0.0,1.7194342e-24,7.58592e-24,0.0,0.0,1.0,0.0,0.0,5.3212455e-37
GTEX-111VG-0526-SM-5N9BW.1,4.355114e-39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.902202e-39
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,2.6383417e-29,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.0,0.0,0.0,0.0,0.0,0.0,1.1696677e-29,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,1.560621e-37,0.0,0.0,0.0,1.7280827e-37,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,9.7473686e-36,1.3125498e-32,0.0,0.0,1.3873256e-14,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,4.562599e-12,0.0,0.0,3.1944547e-35,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,3.744502e-39,0.0,2.79553e-39,1.9879467e-32,0.0,0.0,1.0,0.0,0.0,5.3109264e-36
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,4.5356295e-28,0.0,1.6048583e-27,1.8763877e-23,0.0,0.0,1.0,0.0,0.0,9.843668e-35
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,3.0535156e-25,1.0,0.0,0.0,1.0579999e-32,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,0.0,0.0,0.0,1.72e-43,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,2.2970803e-29,1.6301e-41,0.0,1.997695e-37,0.0,1.805e-41,1.2071945e-34
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,1.1874409e-19,4e-45,0.0,1.4040209e-30,0.0,6e-45,3.190871e-37
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,6.611528e-34,0.0,0.0,0.0,0.0,0.0,0.0
