,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,3.733403e-18,2.63e-43,0.0,0.0,0.0,2.91e-43,0.0
GTEX-111VG-2226-SM-5N9DU.1,1.0,0.0,5.7651553e-28,6.3618064e-28,0.0,0.0,6.3290264e-07,0.0,0.0,4.09e-42
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,5.423073e-22,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,1.8086339e-29,0.0,2.1113229e-07,0.0,0.0,0.0,2.3378773e-07,0.0
GTEX-111YS-0926-SM-5EGGI.1,1.4852197e-12,0.0,5.180948e-39,1.9127258e-37,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111VG-0526-SM-5N9BW.1,2.520205e-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,1e-45,0.0,0.0,0.0,1.8752738e-28,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.0,0.0,0.0,0.0,0.0,0.0,1.9368804e-09,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,1.378009e-39,0.0,0.0,0.0,1.525875e-39,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,4.3250176e-23,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.6998827e-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,6.932271e-23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,6.5655764e-29,0.0,0.0,0.0,7.2700924e-29,0.0
GTEX-111CU-0726-SM-5GZYD.1,6.475093e-13,0.0,8.6075285e-38,5.7985495e-35,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,4.9276936e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9666784e-37,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,2.0881973e-38,0.0,1.0,1.0263616e-15,0.0,0.0,9.340818e-38,0.0,0.0,1.1463e-41
GTEX-111CU-1226-SM-5EGIN.1,2.9779778e-36,0.0,1.0,1.2119566e-11,0.0,0.0,1e-45,0.0,0.0,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,2.0062427e-20,0.0,0.0,0.0,0.0,0.0,0.0
