,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,6.3413857e-34,0.0,0.0,0.0,0.0,0.0,1.0867149e-32,1.0,0.0,2.022e-42
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,0.76710105,0.0,0.0,3.2858366e-37,0.0,0.0,0.2017013,3.303554e-39,0.0,0.031197814
GTEX-111YS-0726-SM-5GZY8.1,1.7304132e-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,2.923692e-19,0.0,0.0,9.647774e-38,0.0,0.0,1.0,3.952811e-39,0.0,3.8681656e-13
GTEX-111VG-0526-SM-5N9BW.1,1.2147851e-33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,3.156864e-13,1.5599216e-26,0.0,4.755624e-19
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,1.4713026e-12,1.1779147e-38,0.0,1.9477925e-26
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,5.724288e-27,5.4645893e-28,7.425054e-30,0.0,1e-45
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,4.2e-44,2.6454007e-18,2.7062828e-28,0.0,5.596264e-30
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,1.1768681e-23,0.0,0.0,1.7528712e-25,0.0,0.0,1.0,6e-45,0.0,1.625161e-08
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,2.5726418e-33,1.0,0.0,0.0,0.0,0.0,0.0,2.5950134e-35
GTEX-111FC-0626-SM-5N9CU.1,1.1246603e-38,0.0,0.0,1.761005e-13,0.0,0.0,4.031034e-17,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1e-45,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,5.919e-41,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
