,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,3.3973675e-35,0.0,1.0,3.775359e-29,0.0,0.0,1.1674107e-24,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,2.7662586e-12,0.0,8.119201e-28,4.5020443e-23,0.0,0.0,1.0,0.0,0.0,3.4839197e-29
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,6.6498e-40,0.0,0.0,3.655826e-22,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,4.7851697e-37,0.0,0.0,0.0,5.2986404e-37,0.0
GTEX-111YS-0926-SM-5EGGI.1,6.355462e-17,0.0,1.950871e-26,1.3564582e-25,0.0,0.0,1.0,0.0,0.0,6.638968e-36
GTEX-111VG-0526-SM-5N9BW.1,0.25754723,0.0,6.976199e-39,1.959634e-27,0.0,0.0,0.7424455,0.0,0.0,4.3126308e-37
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,8.7833e-41,0.0,0.0,1.0534797e-20,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,5.0575497e-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,7e-45,1.0259439e-35,0.0,0.0,8.535522e-17,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,4.679851e-30,0.0,0.0,2.5249461e-08,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,5.596566e-14,0.0,9.5212364e-30,8.432129e-23,0.0,0.0,1.0,0.0,0.0,1.4865295e-34
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,5.135984e-17,0.0,1.4805338e-30,3.3655642e-24,0.0,0.0,1.0,0.0,0.0,1.6576911e-35
GTEX-111YS-1626-SM-5GZZ9.1,2.3105016e-35,0.0,2.2815158e-31,1.0,0.0,0.0,4.0301563e-25,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,2.38193e-40,0.0,0.0,0.0,1.6906497e-36,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1.92833e-30,0.0,0.0,3.1571514e-29,0.0,0.0,7.603968e-32
GTEX-111CU-1226-SM-5EGIN.1,6.2e-44,0.0,1.0,2.3231185e-23,0.0,0.0,1.530887e-20,0.0,0.0,2.0401413e-25
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,3.4174887e-35,0.0,0.0,5.063608e-35,0.0,0.0,0.0
