,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,4e-45,1.6654e-41,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,7.59445e-27,2.4526e-41,0.0,1.5586986e-38,0.0,2.7157e-41,4.8096426e-20
GTEX-111VG-2226-SM-5N9DU.1,6.654514e-05,0.0,0.0,0.0,0.0,0.0,0.99993896,0.0,0.0,1.0368895e-28
GTEX-111YS-0726-SM-5GZY8.1,3.1812257e-19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,7.913673e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.3794008e-28
GTEX-111VG-0526-SM-5N9BW.1,1.0809053e-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,8.864787e-15,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,2.63266e-40,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,1.9216678e-17,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,0.0,5.894035e-23,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,0.0,1.1104508e-09,0.0,0.0,7.2583e-41
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,8.389766e-18,0.0,4.257e-42,2.675827e-34,0.0,0.0,1.0,1e-45,0.0,3.9050966e-21
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,9.486493e-25,1.0,0.0,0.0,8.320971e-36,9.1356e-41,0.0,1.5165239e-21
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,9.048208e-25,4.2347733e-28,0.0,0.0,6.524586e-27,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,2.113023e-22,8e-45,0.0,1.6116407e-38,1.45067e-40,1e-44,3.582268e-17
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,2.6111071e-22,0.0,0.0,5.2692772e-20,8.006658e-36,0.0,1.2633946e-16
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,5.640703e-27,1.243418e-32,0.0,0.0,0.0,1.3768633e-32,1.6048668e-24
