,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,9.141186e-25,1.56e-43,0.0,0.0,0.0,1.71e-43,0.0
GTEX-111VG-2226-SM-5N9DU.1,0.0011766827,0.0,4.536495e-28,2.5554598e-23,0.0,0.0,0.9988258,0.0,0.0,9.921445e-34
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,3.8791644e-18,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,1e-45,0.0,0.0,0.0,1e-45,0.0
GTEX-111YS-0926-SM-5EGGI.1,5.78036e-17,0.0,3.086131e-31,1.0362501e-26,0.0,0.0,1.0,0.0,0.0,1.806e-42
GTEX-111VG-0526-SM-5N9BW.1,3.6300634e-36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,4.093043e-33,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.0,0.0,0.0,0.0,0.0,0.0,6.4307136e-12,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,7.0532706e-37,0.0,0.0,0.0,7.810118e-37,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,1.965e-42,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,2.155e-42,7.752584e-39,0.0,0.0,2.5220979e-22,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,4.039349e-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,2.234777e-31,0.0,0.0,8e-45,0.0,0.0,1.0,0.0,0.0,2.1e-44
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,7.198372e-21,0.0,1.4430189e-30,9.120983e-25,0.0,0.0,1.0,0.0,0.0,4.879639e-38
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,1.2347472e-20,1.0,0.0,0.0,2.094e-42,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,5.4705055e-23,6.381538e-37,0.0,1.7938e-41,0.0,7.0663056e-37,1.1525711e-36
GTEX-111CU-1226-SM-5EGIN.1,2.4834876e-38,0.0,1.0,4.6484478e-15,3.52258e-40,0.0,4.552089e-39,0.0,3.90058e-40,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,2.3985927e-29,6.75e-43,0.0,0.0,0.0,7.47e-43,0.0
