,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,5.888231e-25,0.0,0.0,0.0,0.0,0.0,8.5461e-27,1.0,0.0,5.2093165e-36
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,0.9998779,0.0,0.0,7.2852e-41,0.0,1e-45,0.0001293146,1.3218592e-19,0.0,1.4363191e-07
GTEX-111YS-0726-SM-5GZY8.1,1.112872e-17,0.0,0.0,0.0,0.0,1.0,0.0,1.0569e-41,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,2.4486923e-14,0.0,0.0,1.3673254e-34,0.0,0.0,1.0,1.9613237e-20,0.0,3.5096315e-10
GTEX-111VG-0526-SM-5N9BW.1,6.609077e-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,0.47618034,0.0,0.0,0.0,0.0,6.1089954e-35,1.0075689e-10,0.5238204,0.0,1.6824776e-15
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,6.0727287e-34,4.3932205e-11,1.3096796e-16,0.0,1.8259024e-21
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,3.5072803e-15,6.8707344e-26,2.5935045e-16,0.0,9.3509426e-38
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,2.5173687e-22,1.2526234e-20,7.919004e-11,0.0,3.165714e-29
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,9.078424e-18,0.0,0.0,3.659267e-25,0.0,0.0,1.0,2.7125216e-23,0.0,8.4133326e-08
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,6.893952e-31,1.0,0.0,0.0,9.683e-42,0.0,0.0,2.0035359e-27
GTEX-111FC-0626-SM-5N9CU.1,2.4100232e-27,0.0,0.0,9.165915e-16,0.0,0.0,2.6042168e-12,7.954893e-31,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,3.74463e-40,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,1.02712e-40,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
