,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,4.51493e-40,0.0,0.0,0.0,0.0,0.0,5.667696e-31,1.0,0.0,3.64095e-40
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111VG-2226-SM-5N9DU.1,0.036916275,0.0,0.0,1.2272695e-38,0.0,0.0,0.7102107,1.347031e-34,0.0,0.2528743
GTEX-111YS-0726-SM-5GZY8.1,1.8501377e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,5.1859344e-23,0.0,0.0,1.7358582e-38,0.0,0.0,1.0,1.2462e-41,0.0,1.8735793e-13
GTEX-111VG-0526-SM-5N9BW.1,2.4996562e-37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,9.958488e-12,1.3214189e-29,0.0,4.3274317e-21
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0011237e-12,3.6821645e-38,0.0,4.787323e-30
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,1.77e-43,1.415622e-29,9.219575e-37,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,0.0,3.011769e-15,5.766884e-31,0.0,8.023525e-31
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,1.0467455e-28,0.0,0.0,2.610854e-25,0.0,0.0,1.0,6e-45,0.0,3.734546e-09
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,2.6248574e-23,1.0,0.0,0.0,0.0,0.0,0.0,1.1437e-41
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,0.0,3.508316e-12,0.0,0.0,1.7862106e-24,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,1.48517e-39,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
