,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,2.2168764e-33,0.0,0.0,5.626065e-28,0.0,0.0,9.408048e-38
GTEX-111VG-2226-SM-5N9DU.1,2.3497031e-17,0.0,2.6620126e-33,5.402566e-23,0.0,0.0,1.0,0.0,0.0,3.05385e-40
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,4.9016e-37,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,1.7736017e-32,0.0,0.0,0.0,1.963917e-32,0.0
GTEX-111YS-0926-SM-5EGGI.1,5.96155e-25,0.0,5.476933e-32,7.033002e-25,0.0,0.0,1.0,0.0,0.0,3.625e-42
GTEX-111VG-0526-SM-5N9BW.1,1.0,0.0,0.0,0.0,0.0,0.0,3.895299e-25,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,2e-44,0.0,0.0,3.7569029e-19,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.1124613e-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,6.381093e-39,0.0,0.0,2.382134e-14,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,3.451914e-39,0.0,0.0,1.4302989e-15,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,7.779724e-16,0.0,5.2124e-35,1.0672251e-18,0.0,0.0,1.0,0.0,0.0,3e-45
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,9.8600606e-26,0.0,3.6270932e-33,4.38628e-22,0.0,0.0,1.0,0.0,0.0,1.70544e-40
GTEX-111YS-1626-SM-5GZZ9.1,7.07673e-40,0.0,1.7562473e-37,1.0,0.0,0.0,2.93228e-20,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,2.3279528e-31,4.08e-43,0.0,0.0,2.2236953e-32,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1.121168e-25,0.0,0.0,5.0428968e-23,0.0,0.0,7.427078e-34
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,4.3300595e-20,0.0,0.0,2.5278103e-14,0.0,0.0,3.1716086e-24
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,1.2393388e-35,0.0,0.0,5.739839e-33,0.0,0.0,1.0132126e-38
