,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,4.282626e-39,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,7.4448095e-26,3.764e-42,0.0,0.0,0.0,4.167e-42,1.7063024e-22
GTEX-111VG-2226-SM-5N9DU.1,2.679379e-06,0.0,0.0,0.0,0.0,0.0,1.0,6.5567e-40,0.0,9.546819e-27
GTEX-111YS-0726-SM-5GZY8.1,9.42432e-23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,8.7901945e-16,0.0,0.0,0.0,0.0,0.0,1.0,3e-45,0.0,1.6734095e-28
GTEX-111VG-0526-SM-5N9BW.1,8.620324e-35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,7.459637e-14,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,1.92048e-40,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,4.9221323e-16,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,0.0,3.1055797e-25,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,0.0,1.3439475e-10,0.0,0.0,8e-45
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,4.8302517e-21,0.0,0.0,1.03654e-40,0.0,0.0,1.0,3.8498007e-32,0.0,3.5742775e-20
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,1.1389454e-25,1.0,0.0,0.0,0.0,0.0,0.0,1.2602896e-24
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,1.9462797e-31,1.0523025e-28,0.0,0.0,9.634362e-28,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1.4177247e-21,6e-45,0.0,0.0,0.0,6e-45,1.1743966e-24
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,3.6981743e-21,0.0,0.0,2.16763e-40,1.39773e-40,0.0,9.5748805e-24
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,1.1017944e-28,8.168438e-36,0.0,0.0,0.0,9.044948e-36,1.2831037e-32
