,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,2.796e-42,0.0,0.0,7.048261e-39,1.0,0.0,4e-44
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,8.776873e-28,8e-45,0.0,0.0,0.0,8e-45,5.949e-42
GTEX-111VG-2226-SM-5N9DU.1,4.54234e-09,0.0,0.0,0.0,0.0,0.0,1.0,9.721353e-33,0.0,4.1523126e-20
GTEX-111YS-0726-SM-5GZY8.1,1.1233928e-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0926-SM-5EGGI.1,1.3455879e-19,0.0,0.0,0.0,0.0,0.0,1.0,1.0255596e-37,0.0,2.0019442e-22
GTEX-111VG-0526-SM-5N9BW.1,9.379963e-36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,0.0,0.0,0.0,2.0334827e-10,3.72e-42,0.0,3.16e-42
GTEX-111FC-1026-SM-5GZX1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,4e-45,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,0.0,0.0,0.0,3.9451206e-13,1.4e-44,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,0.0,0.0,0.0,1.5383355e-25,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,1.0,0.0,0.0,0.0,0.0,0.0,9.085112e-10,3.457e-42,0.0,2.29142e-40
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,1.1114626e-26,0.0,0.0,1.1189661e-35,0.0,0.0,1.0,4.9400587e-31,0.0,5.5153695e-15
GTEX-111YS-1626-SM-5GZZ9.1,0.0,0.0,1.462988e-24,1.0,0.0,0.0,0.0,0.0,0.0,3.365459e-33
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,8.090379e-37,2.5038077e-22,0.0,0.0,1.03076e-30,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,1.0389188e-24,0.0,0.0,0.0,0.0,0.0,2.1e-44
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,9.767687e-22,0.0,0.0,0.0,0.0,0.0,7.885e-42
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,8.33821e-32,1.124818e-39,0.0,0.0,0.0,1.245516e-39,0.0
