,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32
0027045b-9ed6-45af-a68e-f55037b5184c,-0.031954359263181686,0.021647896617650986,0.017637409269809723,0.0038456483744084835,-0.008003885857760906,-0.01700262352824211,-0.014531107619404793,-0.01109551452100277,0.10042379051446915,-0.006763176526874304,-0.022473694756627083,0.038128215819597244,-0.07998407632112503,0.03387555107474327,-0.04214475676417351,0.04339516535401344,0.039298661053180695,-0.015983998775482178,-0.07202211022377014,0.0018487423658370972,-0.041426677256822586,-0.07484819740056992,0.026771048083901405,0.010643652640283108,-0.04379160329699516,0.031158674508333206,0.05134943127632141,-0.052820611745119095,-0.048911113291978836,-0.031733911484479904,0.047201771289110184,-0.09837309271097183
00f70d11-3b58-4517-82ec-258cced34a60,-0.040951818227767944,0.007720847614109516,0.037764664739370346,-0.00856791902333498,-0.018656320869922638,0.006038507912307978,-0.032075636088848114,0.006807337515056133,0.07301253080368042,0.07065346837043762,-0.01051777321845293,-0.05458129569888115,-0.06659504026174545,-0.07891491800546646,0.0742337703704834,0.023425718769431114,0.020389404147863388,0.0024288594722747803,-0.0468115396797657,0.04163654148578644,-0.027366722002625465,0.004225708078593016,0.03296223282814026,-0.03925536200404167,0.007945115678012371,-0.01025621872395277,0.06426655501127243,-0.026019571349024773,0.0008417398203164339,0.002416999079287052,0.04283430054783821,0.004250715021044016
0034ecfd-ca94-4615-94d2-e950a2b240ed,-0.003235769923776388,0.04543585330247879,-0.007487480062991381,0.0354156568646431,0.014202329330146313,-0.011469020508229733,-0.04874235391616821,0.00759676331654191,0.09577230364084244,-0.018426142632961273,-0.020511485636234283,-0.04260127246379852,-0.06896306574344635,-0.03590180352330208,-0.06341759115457535,0.026208430528640747,0.06522273272275925,-0.029443107545375824,0.0031898990273475647,0.07387559860944748,-0.05874357745051384,-0.015552042052149773,0.016928739845752716,-0.023163434118032455,-0.04615330323576927,0.05862331762909889,0.0030847752932459116,-0.058310605585575104,-0.01026929635554552,-0.03178896754980087,0.07541713118553162,-0.018895361572504044
00f7bc18-f333-4231-8d78-338ef77e394f,-0.031122062355279922,0.021196000277996063,-0.01760738343000412,-0.004708625841885805,-0.032351527363061905,-0.04246602579951286,-0.057711392641067505,0.03227781504392624,0.037586793303489685,0.017166998237371445,-0.01728842779994011,-0.016156500205397606,-0.07518664747476578,0.0018978386651724577,-0.040562909096479416,0.043815262615680695,0.023422859609127045,0.002597484039142728,-0.04170461371541023,-0.05629820376634598,-0.051969051361083984,-0.03286880627274513,-0.02131643518805504,0.01611671783030033,-0.06531967222690582,0.09311368316411972,0.037165310233831406,-0.06419087201356888,-0.0466814786195755,-0.048167649656534195,0.026324430480599403,0.014490188099443913
00f24662-71c8-4939-aa6e-0427038545d9,-0.06822308152914047,0.022497380152344704,-0.020014584064483643,0.017181947827339172,-0.03143826127052307,0.0028307123575359583,-0.07897274941205978,-0.010412316769361496,0.04563364386558533,0.017906559631228447,0.007883047685027122,-0.010255477391183376,-0.08039714395999908,-0.07687623798847198,-0.05201280117034912,0.010026070289313793,0.03220292180776596,0.04846799001097679,-0.0024023998994380236,-0.013840071856975555,-0.08415190130472183,-0.06195485591888428,0.04807877540588379,-0.030035831034183502,-0.0722661241889,0.05057048797607422,0.0650860071182251,0.0011376721085980535,-0.0453263521194458,0.018216917291283607,0.058926183730363846,-0.020879119634628296
004e0c7a-a9f7-43ad-acac-52fb44f567fc,-0.06438891589641571,0.08464093506336212,-0.024295609444379807,0.0017959915567189455,-0.010753669776022434,-0.0745120421051979,-0.015311610884964466,-0.019423967227339745,0.09542926400899887,-0.0033637441229075193,-0.013395169749855995,0.014065626077353954,-0.029784278944134712,-0.01212625578045845,-0.005644237622618675,0.049435537308454514,0.06426087021827698,0.04119427874684334,0.005710338242352009,-0.006166674662381411,-0.024806592613458633,-0.023857517167925835,0.03011983260512352,-0.0451228991150856,-0.032005637884140015,0.003530286718159914,0.06202046200633049,-0.07071755081415176,0.0011134478263556957,0.022754203528165817,0.09810146689414978,0.06616770476102829
00f5f2e4-2971-46e4-ae00-35fe31af4e59,-0.09220359474420547,0.0003047655918635428,-0.06350834667682648,-0.001176272751763463,0.013253722339868546,-0.06340379267930984,-0.016257409006357193,0.06662723422050476,0.0806402713060379,-0.01685161143541336,0.010510768741369247,-0.01104265358299017,-0.07533229887485504,-0.0216089878231287,-0.005149961914867163,0.0986589789390564,0.03525565192103386,0.027606597170233727,-0.06126389652490616,0.019602211192250252,-0.033584367483854294,-0.03820069879293442,0.009986231103539467,-0.013188657350838184,-0.01729348674416542,0.0187601987272501,0.020077403634786606,-0.03383113071322441,-0.030249686911702156,-0.007958117872476578,0.0846567302942276,-0.09460251033306122
00e9cce0-2367-4963-a72f-2a08b143b0b8,-0.015744628384709358,0.05656843259930611,0.019398653879761696,0.08305032551288605,0.0752415582537651,-0.04755347594618797,-0.05341290310025215,0.024092458188533783,0.03630741685628891,0.00823214091360569,0.02614455483853817,0.04054899886250496,-0.08419418334960938,-0.10316773504018784,-0.05053403601050377,0.040311671793460846,0.031226102262735367,-0.0012648685369640589,-0.08149506896734238,0.034057553857564926,-0.04963294789195061,-0.044722363352775574,-0.025647012516856194,-0.0606653168797493,-0.04474629461765289,-0.014107605442404747,0.03303246572613716,-0.043655648827552795,-0.046076450496912,0.047268688678741455,-0.003521242644637823,-0.07835394144058228
0141f9ca-a8a1-4ea4-b194-6c3afb943253,-0.006395241711288691,0.073525071144104,-0.03540395572781563,0.0014390076976269484,0.04410475865006447,-0.037171728909015656,-0.09905374050140381,0.04541322588920593,0.04584958404302597,-0.022819332778453827,-0.05806417763233185,-0.007029883563518524,-0.07836741954088211,-0.08250106871128082,-0.035087745636701584,0.04633961617946625,0.06465811282396317,-0.03182397782802582,-0.023621441796422005,-0.007505893241614103,-0.04968651384115219,-0.03375434875488281,0.07149341702461243,-0.009492980316281319,-0.049337439239025116,0.04723942652344704,0.03796790912747383,-0.08006841689348221,-0.03159167617559433,-0.016753222793340683,0.06522846221923828,-0.021686388179659843
00dd9349-a18d-4a08-8f90-639f64dc5ae6,-0.00035404309164732695,0.01979704201221466,-0.02151472494006157,0.05397738143801689,0.04928462952375412,-0.03247714042663574,-0.054690394550561905,-0.041963718831539154,0.001604809775017202,-0.041488926857709885,0.017827734351158142,0.0267128124833107,-0.07203884422779083,0.028270727023482323,-0.07248542457818985,0.05733837932348251,0.03792082145810127,-0.03678952530026436,0.0026631427463144064,-0.007446834817528725,-0.13799388706684113,-0.03984738513827324,0.050995226949453354,-0.047738682478666306,-0.07179725915193558,0.04465144872665405,0.05335947498679161,0.007079023402184248,-0.04132284224033356,0.04530658200383186,0.05193979665637016,-0.08402954787015915
