,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,tissue
1627,-0.008769950829446316,-0.04527179151773453,0.04655895009636879,0.04498497396707535,0.03662858158349991,-0.026279326528310776,-0.060128409415483475,-0.08710530400276184,0.049934130162000656,0.029362522065639496,-0.04178997874259949,-0.037375159561634064,-0.08534011244773865,0.014560299925506115,0.09086960554122925,0.06159418076276779,-0.0679556354880333,0.13131561875343323,-0.03334064036607742,-0.07637882232666016,-0.02403971552848816,0.04175177216529846,0.11480963230133057,0.03302023187279701,0.01322891190648079,-0.019813090562820435,-0.02981472760438919,-0.10344161838293076,-0.02707733027637005,0.022012732923030853,0.0030898801051080227,-0.05410925671458244,testis
111,0.09065835922956467,0.01949908211827278,-0.04028744250535965,-0.022797150537371635,0.046330682933330536,-0.005117739550769329,-0.015274520963430405,-0.003597873728722334,0.005710964556783438,-0.06538963317871094,-0.009562695398926735,0.028895966708660126,-0.0057486072182655334,-0.04857203736901283,0.010548194870352745,-0.038046929985284805,0.046467363834381104,0.0008175311959348619,-0.017908956855535507,-0.034237246960401535,0.021520080044865608,0.039315011352300644,0.012549042701721191,0.05332634225487709,0.0022901510819792747,0.02812795527279377,-0.0005873727495782077,0.05592403933405876,-0.04098302498459816,-0.05948827788233757,-0.00071984704118222,0.03355642780661583,adipose_visceral_omentum
555,0.015590335242450237,-0.027261285111308098,-0.02961588464677334,0.001240251585841179,0.054944295436143875,0.024504175409674644,-0.07514966279268265,-0.05179838091135025,0.03578229621052742,-0.00012835446977987885,-0.04670853540301323,-0.011785617098212242,-0.010700343176722527,-0.010993565432727337,-0.024576345458626747,0.06575775891542435,-0.005177774466574192,0.04214471951127052,-0.044169265776872635,0.013669920153915882,-0.03075272962450981,0.010341530665755272,-0.006112492177635431,-0.015841398388147354,-0.04029175266623497,0.03226526826620102,0.009647075086832047,0.03855704516172409,-0.036218468099832535,-0.0070345341227948666,0.010327460244297981,-0.04011150076985359,breast_mammary_tissue
527,-0.023062745109200478,-0.04706661030650139,-0.027851281687617302,0.059309106320142746,0.018362263217568398,0.008706174790859222,-0.059940796345472336,-0.08701857924461365,0.027123523876070976,0.014043644070625305,0.01653527095913887,-0.01354251243174076,-0.026820126920938492,-0.04024609923362732,-0.047749221324920654,0.02686144784092903,-0.02387557551264763,-0.024858176708221436,-0.07010572403669357,0.005587400868535042,-0.014372059144079685,-0.0120803602039814,0.05294568091630936,-0.010104915127158165,-0.01120203360915184,0.03678787872195244,0.019050760194659233,0.004996045026928186,-0.021623818203806877,-0.013560457155108452,-0.032571032643318176,-0.05945601314306259,breast_mammary_tissue
1701,-0.03655402734875679,-0.027243366464972496,-0.01732698082923889,-0.01320174615830183,0.03626205399632454,0.020448988303542137,-0.004546336364001036,0.023433975875377655,-0.02239067666232586,0.0019277289975434542,-0.02387656271457672,0.011099282652139664,-0.020497385412454605,0.041603755205869675,0.014300936833024025,-0.012138943187892437,-0.009507784619927406,-0.03025551699101925,-0.04305671900510788,-0.04890606552362442,0.1217077448964119,0.07177725434303284,0.04006997495889664,0.044263776391744614,-0.049741122871637344,0.06084863469004631,-0.08278944343328476,-0.010017191991209984,0.056954581290483475,0.015708422288298607,0.027852848172187805,0.025217555463314056,nerve_tibial
1107,-0.03120981529355049,0.0794856995344162,-0.0021986798383295536,-0.008462636731564999,0.06955962628126144,-0.028531832620501518,0.01763773337006569,0.012697143480181694,0.04610852524638176,-0.012687429785728455,-0.009072533808648586,0.04471345990896225,-0.03986872732639313,0.0670294389128685,-0.05761714279651642,0.025473209097981453,-0.07528207451105118,0.04528440162539482,-0.05065656453371048,-0.04103169962763786,0.019848130643367767,0.002352509181946516,0.02253204770386219,-0.002762065501883626,-0.10344640910625458,0.02819785475730896,-0.04514125734567642,-0.02766796387732029,-0.025901734828948975,-0.020559387281537056,0.020195776596665382,0.049273278564214706,thyroid
70,0.01474023424088955,-0.01924249902367592,-0.04935726523399353,-0.014097798615694046,-0.012540917843580246,-0.0005221825558692217,-0.06064508855342865,0.03431973233819008,0.03375731408596039,-0.017186593264341354,0.0022821512538939714,-0.02474377304315567,-0.035171058028936386,-0.051606323570013046,-0.020031852647662163,0.02555212192237377,-0.011058274656534195,0.061446353793144226,0.0029286553617566824,-0.0015993104316294193,-0.05695541948080063,0.026395419612526894,-0.017658943310379982,0.001288586063310504,-0.0019987886771559715,-0.024133887141942978,-0.00529986759647727,-0.0065129888243973255,-0.0014308562967926264,-0.05841744318604469,0.022839657962322235,0.021624650806188583,adipose_subcutaneous
251,-0.010054008103907108,-0.06558028608560562,-0.0460130050778389,0.00265423278324306,-0.01741013303399086,0.029374442994594574,0.018225444480776787,0.03975314274430275,-0.0514097698032856,-0.000525489856954664,-0.0032490110024809837,0.0360548309981823,0.019171498715877533,-0.010548810474574566,-0.04995854198932648,-0.07705370336771011,0.022150201722979546,0.007678787223994732,-0.00735283549875021,0.04654354602098465,0.049788184463977814,-0.04772975295782089,0.012705500237643719,0.014310996048152447,0.024373209103941917,-0.015441560186445713,-0.020588597282767296,0.04765181243419647,0.04689805954694748,-0.029758721590042114,0.0010032971622422338,-0.02800402231514454,artery_tibial
1321,0.0065087247639894485,-0.04042930155992508,-0.01904519461095333,-0.027465064078569412,-0.010902516543865204,-0.005134610924869776,-0.0368545837700367,-0.021857477724552155,0.059857215732336044,0.012165415100753307,-0.026470037177205086,-0.019939912483096123,0.019636966288089752,0.011273118667304516,0.022771745920181274,0.027191927656531334,0.003465942805632949,-0.0102457944303751,0.04818834364414215,0.053177766501903534,-0.017994724214076996,-0.021876230835914612,-0.030120743438601494,-0.04870143532752991,0.06109437346458435,-0.008894169703125954,0.020970961079001427,-0.041767530143260956,0.014983410947024822,0.05736805871129036,-0.03813024237751961,0.02447114884853363,esophagus_mucosa
1184,-0.03115430846810341,-0.006135887000709772,0.008412991650402546,-0.006101374514400959,0.032073695212602615,0.0472552515566349,0.03302670642733574,-0.018180454149842262,-0.016330165788531303,0.013729838654398918,-0.0301870908588171,0.01151967328041792,0.04586378112435341,0.04453817382454872,-0.010369285009801388,-0.00784353818744421,0.001156385405920446,-0.010346445254981518,-0.004341605119407177,-0.09147119522094727,-0.012721790000796318,0.022118698805570602,-0.02015078254044056,0.023967266082763672,-0.02766982465982437,0.008913625031709671,0.006719549652189016,0.025140047073364258,-0.011028640903532505,-0.0016087647527456284,0.003194761462509632,0.03478246182203293,lung
