,platform,processor,num_threads,opt_round,epoch,time_tot_epoch_cpu,time_tot_bw_cpu,time_tot_epoch_wall,time_tot_bw_wall
0,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,1,94.978363548,69.15627873299997,1.9933280944824219,1.5672976970672607
1,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,2,63.767154662000024,46.60142024099997,1.2691597938537598,0.9941186904907227
2,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,3,65.34077391700004,47.58106406799999,1.2890851497650146,1.003504991531372
3,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,4,63.579076724000004,45.744154145999914,1.2328822612762451,0.9407501220703125
4,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,5,63.16194358600001,45.64402066100001,1.2152891159057617,0.9342529773712158
5,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,6,64.144388741,46.68382662500011,1.244481086730957,0.9654896259307861
6,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,7,66.626259457,48.44184818499991,1.2760288715362549,0.981579065322876
7,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,8,63.83964895100007,46.355526904000044,1.21482515335083,0.9320330619812012
8,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,9,63.97979708599996,46.54474765400005,1.2329602241516113,0.9466702938079834
9,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,1,10,64.09299758100008,46.491587435000156,1.2304778099060059,0.9374945163726807
10,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,1,38.297839040999975,32.52436378900006,0.7950294017791748,0.7010242938995361
11,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,2,38.40861543199992,32.59768380899993,0.7783050537109375,0.6856892108917236
12,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,3,38.067955256000005,32.31484137499979,0.7743487358093262,0.6837019920349121
13,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,4,38.25356861700004,32.36912550199986,0.7770349979400635,0.6850512027740479
14,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,5,38.05840788800003,32.23568915299995,0.7893764972686768,0.6965007781982422
15,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,6,38.360304454000016,32.47389371299971,0.8000259399414062,0.7066388130187988
16,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,7,40.93821836799998,34.86527663800007,0.9914302825927734,0.8957386016845703
17,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,8,38.728518504000135,32.47321221600009,0.8083775043487549,0.7058939933776855
18,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,9,45.412553003000085,38.64906690000021,1.028730869293213,0.9159762859344482
19,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,10,44.14197578199992,37.707962381000016,1.0223684310913086,0.9131054878234863
20,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,11,96.72935580800004,53.782362020000164,1.974179983139038,1.1760497093200684
21,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,12,39.54237319799995,33.46685477300002,0.8264262676239014,0.73065185546875
22,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,13,39.58308770599979,33.568524731000025,0.8325371742248535,0.7387986183166504
23,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,14,38.84340958200005,32.95741381800008,0.8062231540679932,0.7126362323760986
24,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,15,38.13707356500004,32.50718546799999,0.7794573307037354,0.6891434192657471
25,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,16,48.46462042200005,37.903090435000195,1.0336062908172607,0.8427860736846924
26,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,17,38.34556458300017,32.581251534999865,0.808518648147583,0.7177689075469971
27,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,18,38.411567863999835,32.52332234999972,0.826441764831543,0.7351109981536865
28,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,19,38.54363450100004,32.60100390000025,0.7660238742828369,0.6729037761688232
29,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,20,38.92017832099987,32.965307905000145,0.8579771518707275,0.7660298347473145
30,Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,2,21,58.28884988100003,52.40480484700015,1.1495215892791748,1.0536954402923584
