epoch,-log p_dens(z_train),-log p_dens(x_train|z_train),loss_train,-log p_dens(z_test),-log p_dens(x_test|z_test),loss_test
67,-133.59275390625,102445.88152955078,102312.28877564453,-49.6353662109375,106868.98668069567,106819.35131448474
68,-133.894296875,102259.53100503322,102125.63670815821,-52.3970166015625,106777.33262136843,106724.93560476687
69,-133.70705078125,102188.02569507042,102054.31864428917,-57.605859375,106637.74101907268,106580.13515969767
70,-132.5237109375,101946.99279344543,101814.46908250795,-61.9280126953125,106562.73683714586,106500.80882445053
71,-131.55732421875,101796.65287354842,101665.09554932966,-64.8951806640625,106471.40526752964,106406.51008686557
72,-130.86484375,101664.89158830806,101534.02674455807,-67.8905322265625,106375.53261091973,106307.64207869317
73,-131.527783203125,101612.024325497,101480.49654229387,-69.7217138671875,106545.80140769029,106476.0796938231
74,-130.3316015625,101469.60565854251,101339.27405698001,-71.456787109375,106312.87434141677,106241.4175543074
75,-127.7741796875,101463.87211462497,101336.09793493748,-72.5251806640625,106284.78346622408,106212.25828556
76,-127.89025390625,101242.66542976219,101114.77517585595,-72.2465478515625,106156.65729798701,106084.41075013544
77,-127.976337890625,101123.79510393098,100995.81876604035,-72.684775390625,106067.52229056536,105994.83751517475
78,-126.805439453125,100891.96981996972,100765.1643805166,-75.0841748046875,105925.77081434104,105850.68663953636
79,-124.453251953125,100709.38343330269,100584.93018134957,-76.84859375,105834.57185456791,105757.72326081792
80,-123.79904296875,100522.00597381275,100398.206930844,-77.048271484375,105933.58027231401,105856.53200082964
81,-121.3913671875,100546.70392324598,100425.31255605849,-76.751708984375,105943.65426871573,105866.90255973136
82,-121.29091796875,100631.78453603951,100510.49361807076,-76.430517578125,105745.35426489524,105668.92374731712
83,-121.21478515625,100205.17258580397,100083.95780064772,-75.832216796875,105641.8664148577,105566.03419806082
84,-120.67333984375,100117.18660816748,99996.51326832373,-73.8730029296875,105745.18564596932,105671.31264303964
85,-120.4234375,100116.03419189075,99995.61075439076,-72.336767578125,105623.93080762781,105551.59404004969
86,-120.474130859375,99977.79038928755,99857.31625842817,-71.8175,105649.41284442128,105577.59534442128
87,-119.638505859375,100026.33504980864,99906.69654394926,-71.06328125,105602.48777251579,105531.42449126579
88,-120.1633984375,99842.6229128531,99722.4595144156,-70.433955078125,105464.33106266864,105393.89710759051
89,-120.098310546875,99763.54342434934,99643.44511380246,-70.5988232421875,105276.70017717613,105206.10135393395
90,-120.1661328125,99460.20128834453,99340.03515553202,-69.993916015625,105322.57453123547,105252.58061521985
91,-118.38767578125,99459.6222108256,99341.23453504435,-69.63625,105395.10599306684,105325.46974306685
92,-118.6203515625,99604.4091984883,99485.78884692579,-69.5535302734375,105459.03511185193,105389.4815815785
93,-119.342060546875,99647.10582772378,99527.7637671769,-69.35541015625,105169.2030580949,105099.84764793866
94,-119.026123046875,99294.14503516232,99175.11891211545,-68.423681640625,105174.4124215956,105105.98873995498
95,-119.11115234375,99174.74927994268,99055.63812759893,-67.8832421875,105187.50889194086,105119.62564975336
96,-118.873837890625,99092.46444582872,98973.5906079381,-67.327216796875,105062.633616236,104995.30639943913
97,-118.537861328125,98934.40081482314,98815.86295349502,-66.877763671875,104939.17857731218,104872.3008136403
98,-117.90486328125,98824.20554295694,98706.3006796757,-66.4642822265625,104913.56530662345,104847.10102439689
99,-118.167587890625,98678.55009051737,98560.38250262674,-65.5853076171875,104905.28385525964,104839.69854764246
100,-117.574140625,98626.1258833242,98508.5517426992,-64.8123876953125,104853.86279442674,104789.05040673142
101,-117.27669921875,98603.175105188,98485.89840596926,-64.83587890625,104866.12756654857,104801.29168764231
102,-117.33810546875,98461.272735292,98343.93462982326,-64.76865234375,104816.36948756565,104751.60083522189
103,-117.98982421875,98364.04555392872,98246.05572970997,-64.78779296875,104752.59574094415,104687.8079479754
104,-116.5026171875,98318.70977083631,98202.20715364881,-65.026318359375,104698.67788991,104633.65157155062
105,-116.4001953125,98211.0765256553,98094.6763303428,-64.854580078125,104655.62411440126,104590.76953432315
106,-116.72060546875,98117.46523066971,98000.74462520097,-64.5971435546875,104599.50729599096,104534.91015243628
107,-116.29419921875,98050.31641370343,97934.02221448468,-63.8423193359375,104538.79704216663,104474.95472283069
108,-116.7966015625,97972.8985892575,97856.101987695,-62.818720703125,104554.13221662347,104491.31349592036
109,-115.8698828125,97923.17882171777,97807.30893890526,-62.526025390625,104541.24893798295,104478.72291259233
110,-116.389482421875,97831.30508942709,97714.91560700521,-61.751162109375,104512.95790514855,104451.20674303918
111,-116.30337890625,97772.90088875871,97656.59750985247,-60.858505859375,104462.9622308184,104402.10372495903
112,-116.710048828125,97690.59493084849,97573.88488202036,-59.8469482421875,104442.31437052035,104382.46742227818
113,-115.96833984375,97647.28826499503,97531.31992515129,-58.9168310546875,104414.07907260703,104355.16224155235
114,-116.04599609375,97581.0648727044,97465.01887661066,-58.4888427734375,104388.74647132686,104330.25762855342
115,-115.4106640625,97529.66129029244,97414.25062622994,-58.061044921875,104365.67373221926,104307.61268729738
116,-115.962578125,97495.26572626809,97379.30314814308,-56.976943359375,104342.09647633057,104285.11953297119
117,-115.615107421875,97422.90753250338,97307.29242508151,-55.79365234375,104345.48800244414,104289.69435010038
118,-115.93234375,97371.73991648882,97255.80757273882,-54.576337890625,104334.98155238944,104280.40521449881
119,-116.172763671875,97307.18961447958,97191.0168508077,-53.420224609375,104327.59375457573,104274.17352996636
120,-115.8354296875,97259.19037773303,97143.35494804554,-52.3872265625,104296.87450493519,104244.48727837269
121,-116.37142578125,97202.59728263211,97086.22585685086,-51.3201318359375,104263.03993883189,104211.71980699596
122,-115.994306640625,97151.40121437736,97035.40690773673,-50.2397412109375,104212.58644141049,104162.34670019955
123,-116.15953125,97101.73057563735,96985.57104438735,-49.0253955078125,104195.28539794053,104146.26000243273
124,-115.828369140625,97051.81932918042,96935.9909600398,-48.030537109375,104203.085858913,104155.05532180361
125,-116.180849609375,97009.95528815698,96893.77443854761,-47.2773046875,104207.37504172769,104160.09773704018
126,-116.15830078125,96954.73715863627,96838.57885785501,-46.619775390625,104193.01620164672,104146.39642625609
127,-115.95025390625,96914.79657953478,96798.84632562853,-46.1175,104180.70937608455,104134.59187608454
128,-115.879111328125,96867.9183795905,96752.03926826236,-45.6965625,104168.76842503689,104123.07186253689
129,-115.701337890625,96818.83256951012,96703.1312316195,-45.209140625,104154.04016497756,104108.83102435255
130,-115.71494140625,96774.66748075763,96658.95253935138,-44.63880859375,104131.01983146797,104086.38102287422
131,-116.129951171875,96731.76157658838,96615.6316254165,-44.08974609375,104113.65057277998,104069.56082668623
132,-115.919951171875,96690.2632430214,96574.34329184954,-43.5080078125,104105.167263288,104061.65925547552
133,-116.0610546875,96658.31169697476,96542.25064228727,-42.8289111328125,104099.0858667733,104056.25695564048
134,-115.829033203125,96611.64373193275,96495.81469872962,-42.119501953125,104105.01735945999,104062.89785750688
135,-115.899404296875,96578.71524966515,96462.81584536828,-41.396044921875,104102.286410061,104060.89036513913
136,-116.0529296875,96538.7276982691,96422.6747685816,-40.70867431640625,104093.20067137788,104052.49199706149
137,-116.297216796875,96506.44781864557,96390.1506018487,-40.14099853515625,104069.01836577017,104028.877367235
138,-115.95228515625,96474.9534056547,96359.00112049845,-39.5983984375,104056.33536712668,104016.73696868919
139,-116.084228515625,96438.39482629207,96322.31059777645,-39.03630859375,104051.0896857557,104012.05337716194
140,-116.00720703125,96407.7749769651,96291.76776993385,-38.51999267578125,104040.62281476105,104002.10282208526
141,-116.366435546875,96382.5306494008,96266.16421385393,-38.06908203125,104039.93266931442,104001.86358728318
142,-116.3226171875,96349.22446647374,96232.90184928624,-37.686591796875,104047.65211189698,104009.96552010012
143,-116.112080078125,96323.00526952565,96206.89318944752,-37.24744384765625,104048.1544707102,104010.90702686254
144,-116.441416015625,96294.56621815548,96178.12480213985,-36.72294921875,104039.49432507635,104002.77137585758
145,-116.35978515625,96264.23772862872,96147.87794347247,-36.255478515625,104033.3950614981,103997.13958298248
146,-116.2084765625,96239.57467714479,96123.3662005823,-35.7674853515625,104028.50751581501,103992.74003046345
147,-116.60720703125,96216.86539816436,96100.2581911331,-35.24879638671875,104017.84152202283,103982.59272563612
148,-116.4547265625,96192.77878044806,96076.32405388556,-34.7680126953125,104004.52943578768,103969.76142309238
149,-116.432841796875,96166.92422039676,96050.4913785999,-34.2131103515625,103998.56274134252,103964.34963099095
150,-116.660927734375,96146.3814222857,96029.72049455132,-33.594150390625,103999.09219009058,103965.49803969996
151,-116.860224609375,96124.13808186004,96007.27785725066,-33.00033203125,104001.3644895571,103968.36415752587
152,-116.88380859375,96102.87384287626,95985.9900342825,-32.41236572265625,104002.6632197525,103970.25085402984
153,-116.659921875,96085.2962492656,95968.6363273906,-31.87951416015625,103999.08634458654,103967.20683042638
154,-116.97458984375,96065.27099974714,95948.29640990339,-31.3701220703125,103993.74062836319,103962.37050629288
155,-117.04984375,96046.33563042307,95929.28578667308,-30.9676416015625,103989.71196016487,103958.7443185633
156,-117.10234375,96030.24399154203,95913.14164779203,-30.63678466796875,103988.38533898782,103957.74855431986
157,-116.95140625,96013.31408409044,95896.36267784044,-30.357724609375,103988.13183114072,103957.77410653135
158,-117.121103515625,95998.50591406605,95881.38481055041,-30.074287109375,103985.91236874154,103955.83808163216
159,-116.98419921875,95983.25662756294,95866.2724283442,-29.77455078125,103980.72237990735,103950.9478291261
160,-117.20876953125,95969.41532747482,95852.20655794357,-29.45783935546875,103974.47578538768,103945.01794603221
161,-117.18638671875,95955.48799961664,95838.30161289789,-29.16018798828125,103969.43503754433,103940.27484955605
162,-117.20900390625,95942.0217489782,95824.81274507195,-28.849951171875,103966.65779562113,103937.80784444924
163,-117.262373046875,95929.45857016262,95812.19619711574,-28.5420458984375,103964.77728561978,103936.23523972135
164,-117.3541015625,95919.10326861865,95801.74916705616,-28.24903076171875,103962.05576791761,103933.8067371559
165,-117.2884765625,95907.28031158465,95789.99183502214,-27.974482421875,103960.38423772361,103932.40975530173
166,-117.42359375,95896.86965234272,95779.44605859272,-27.7166259765625,103958.96313807435,103931.24651209779
167,-117.3003125,95886.98473465379,95769.68442215379,-27.4784619140625,103957.69180566043,103930.21334374636
168,-117.35716796875,95877.29218776782,95759.93501979906,-27.2334033203125,103956.60977994908,103929.37637662876
169,-117.496669921875,95868.58718102537,95751.0905111035,-26.99460205078125,103955.98684857998,103928.9922465292
170,-117.4043359375,95860.49347340413,95743.08913746662,-26.7756640625,103955.1407166772,103928.3650526147
171,-117.49529296875,95852.82513038107,95735.32983741231,-26.5580078125,103953.75688995555,103927.19888214306
172,-117.49265625,95845.42791055534,95727.93525430534,-26.352978515625,103952.37577903937,103926.02280052374
173,-117.46703125,95838.68766284421,95721.22063159422,-26.1620751953125,103950.73809449938,103924.57601930406
174,-117.591328125,95832.55867553609,95714.96734741109,-25.98173828125,103949.04088640194,103923.0591481207
175,-117.5906640625,95826.75892704158,95709.16826297907,-25.81925048828125,103947.39522451122,103921.57597402293
176,-117.61431640625,95821.35673854152,95703.74242213527,-25.66874267578125,103945.92137087979,103920.252628204
177,-117.61859375,95816.30950546642,95698.6909117164,-25.532109375,103944.62802973182,103919.0959203568
178,-117.62248046875,95811.62864480633,95694.00616433758,-25.4057861328125,103943.56531882816,103918.15953269534
179,-117.61736328125,95807.5107891747,95689.89342589345,-25.2864404296875,103942.71919112038,103917.43275069068
180,-117.637353515625,95803.74946389534,95686.1121103797,-25.1763134765625,103941.98192886547,103916.8056153889
181,-117.68888671875,95800.27866341974,95682.589776701,-25.07201171875,103941.27421929839,103916.20220757963
182,-117.69453125,95797.16686681367,95679.47233556368,-24.97744873046875,103940.68979746285,103915.71234873238
183,-117.704150390625,95794.31748101796,95676.61333062734,-24.8961669921875,103940.19091054823,103915.29474355605
184,-117.72763671875,95791.69711195001,95673.96947523126,-24.82451171875,103939.77544593411,103914.95093421536
185,-117.74697265625,95789.48785067913,95671.74087802287,-24.76329833984375,103939.43850956213,103914.67521122229
186,-117.7062109375,95787.57295320276,95669.86674226527,-24.71080078125,103939.16981094834,103914.45901016709
187,-117.74150390625,95785.93521540199,95668.19371149574,-24.66476806640625,103938.91613518425,103914.25136711783
188,-117.76541015625,95784.41301263281,95666.64760247656,-24.624267578125,103938.70326067586,103914.07899309773
189,-117.739248046875,95783.07862060927,95665.33937256239,-24.5899169921875,103938.49111645897,103913.9011994668
190,-117.741767578125,95782.04812221616,95664.30635463804,-24.5603759765625,103938.30735605997,103913.74698008342
191,-117.7553515625,95781.1670943521,95663.4117427896,-24.53591552734375,103938.13930889372,103913.60339336637
192,-117.75251953125,95780.46364847937,95662.71112894813,-24.516318359375,103938.03986454282,103913.52354618344
193,-117.75435546875,95779.84945420916,95662.09509874042,-24.5007373046875,103937.90232552822,103913.40158822354
194,-117.76693359375,95779.45477068676,95661.687837093,-24.4888623046875,103937.88410714656,103913.39524484187
195,-117.772490234375,95779.11991840677,95661.3474281724,-24.480205078125,103937.82167929217,103913.34147421404
196,-117.7668359375,95778.93555002999,95661.16871409249,-24.47415283203125,103937.7693925403,103913.29523970827
197,-117.749970703125,95778.72657152059,95660.97660081746,-24.47029296875,103937.77307439248,103913.30278142373
198,-117.78474609375,95778.66853969794,95660.88379360418,-24.4681103515625,103937.74286200751,103913.27475165595
199,-117.77265625,95778.64806082977,95660.87540457977,-24.46712890625,103937.7358125613,103913.26868365504
200,-117.748056640625,95778.67126050587,95660.92320386526,-24.46681884765625,103937.721616285,103913.25479743734
